DateNumber,FullDate,Year,MonthNumber,Day,MonthName,MonthShortName,DayOfWeek,DayNumberInYear
20160104,4/01/2016,2016,1,4,January,Jan,2,4
20170104,4/01/2017,2017,1,4,January,Jan,4,4
20180104,4/01/2018,2018,1,4,January,Jan,5,4
20190104,4/01/2019,2019,1,4,January,Jan,6,4
20090105,5/01/2009,2009,1,5,January,Jan,2,5
20100105,5/01/2010,2010,1,5,January,Jan,3,5
20110105,5/01/2011,2011,1,5,January,Jan,4,5
20120105,5/01/2012,2012,1,5,January,Jan,5,5
20130105,5/01/2013,2013,1,5,January,Jan,7,5
20140105,5/01/2014,2014,1,5,January,Jan,1,5
20150105,5/01/2015,2015,1,5,January,Jan,2,5
20160105,5/01/2016,2016,1,5,January,Jan,3,5
20170105,5/01/2017,2017,1,5,January,Jan,5,5
20180105,5/01/2018,2018,1,5,January,Jan,6,5
20190105,5/01/2019,2019,1,5,January,Jan,7,5
20090106,6/01/2009,2009,1,6,January,Jan,3,6
20100106,6/01/2010,2010,1,6,January,Jan,4,6
20110106,6/01/2011,2011,1,6,January,Jan,5,6
20120106,6/01/2012,2012,1,6,January,Jan,6,6
20130106,6/01/2013,2013,1,6,January,Jan,1,6
20140106,6/01/2014,2014,1,6,January,Jan,2,6
20150106,6/01/2015,2015,1,6,January,Jan,3,6
20160106,6/01/2016,2016,1,6,January,Jan,4,6
20170106,6/01/2017,2017,1,6,January,Jan,6,6
20180106,6/01/2018,2018,1,6,January,Jan,7,6
20190106,6/01/2019,2019,1,6,January,Jan,1,6
20090107,7/01/2009,2009,1,7,January,Jan,4,7
20100107,7/01/2010,2010,1,7,January,Jan,5,7
20110107,7/01/2011,2011,1,7,January,Jan,6,7
20120107,7/01/2012,2012,1,7,January,Jan,7,7
20130107,7/01/2013,2013,1,7,January,Jan,2,7
20140107,7/01/2014,2014,1,7,January,Jan,3,7
20150107,7/01/2015,2015,1,7,January,Jan,4,7
20160107,7/01/2016,2016,1,7,January,Jan,5,7
20170107,7/01/2017,2017,1,7,January,Jan,7,7
20180107,7/01/2018,2018,1,7,January,Jan,1,7
20190107,7/01/2019,2019,1,7,January,Jan,2,7
20090108,8/01/2009,2009,1,8,January,Jan,5,8
20100108,8/01/2010,2010,1,8,January,Jan,6,8
20110108,8/01/2011,2011,1,8,January,Jan,7,8
20120108,8/01/2012,2012,1,8,January,Jan,1,8
20130108,8/01/2013,2013,1,8,January,Jan,3,8
20140108,8/01/2014,2014,1,8,January,Jan,4,8
20150108,8/01/2015,2015,1,8,January,Jan,5,8
20160108,8/01/2016,2016,1,8,January,Jan,6,8
20170108,8/01/2017,2017,1,8,January,Jan,1,8
20180108,8/01/2018,2018,1,8,January,Jan,2,8
20190108,8/01/2019,2019,1,8,January,Jan,3,8
20090109,9/01/2009,2009,1,9,January,Jan,6,9
20100109,9/01/2010,2010,1,9,January,Jan,7,9
20110109,9/01/2011,2011,1,9,January,Jan,1,9
20120109,9/01/2012,2012,1,9,January,Jan,2,9
20130109,9/01/2013,2013,1,9,January,Jan,4,9
20140109,9/01/2014,2014,1,9,January,Jan,5,9
20150109,9/01/2015,2015,1,9,January,Jan,6,9
20160109,9/01/2016,2016,1,9,January,Jan,7,9
20170109,9/01/2017,2017,1,9,January,Jan,2,9
20180109,9/01/2018,2018,1,9,January,Jan,3,9
20190109,9/01/2019,2019,1,9,January,Jan,4,9
20090110,10/01/2009,2009,1,10,January,Jan,7,10
20100110,10/01/2010,2010,1,10,January,Jan,1,10
20110110,10/01/2011,2011,1,10,January,Jan,2,10
20120110,10/01/2012,2012,1,10,January,Jan,3,10
20130110,10/01/2013,2013,1,10,January,Jan,5,10
20140110,10/01/2014,2014,1,10,January,Jan,6,10
20150110,10/01/2015,2015,1,10,January,Jan,7,10
20160110,10/01/2016,2016,1,10,January,Jan,1,10
20170110,10/01/2017,2017,1,10,January,Jan,3,10
20180110,10/01/2018,2018,1,10,January,Jan,4,10
20190110,10/01/2019,2019,1,10,January,Jan,5,10
20090111,11/01/2009,2009,1,11,January,Jan,1,11
20100111,11/01/2010,2010,1,11,January,Jan,2,11
20110111,11/01/2011,2011,1,11,January,Jan,3,11
20120111,11/01/2012,2012,1,11,January,Jan,4,11
20130111,11/01/2013,2013,1,11,January,Jan,6,11
20140111,11/01/2014,2014,1,11,January,Jan,7,11
20150111,11/01/2015,2015,1,11,January,Jan,1,11
20160111,11/01/2016,2016,1,11,January,Jan,2,11
20170111,11/01/2017,2017,1,11,January,Jan,4,11
20180111,11/01/2018,2018,1,11,January,Jan,5,11
20190111,11/01/2019,2019,1,11,January,Jan,6,11
20090112,12/01/2009,2009,1,12,January,Jan,2,12
20100112,12/01/2010,2010,1,12,January,Jan,3,12
20110112,12/01/2011,2011,1,12,January,Jan,4,12
20120112,12/01/2012,2012,1,12,January,Jan,5,12
20130112,12/01/2013,2013,1,12,January,Jan,7,12
20140112,12/01/2014,2014,1,12,January,Jan,1,12
20150112,12/01/2015,2015,1,12,January,Jan,2,12
20160112,12/01/2016,2016,1,12,January,Jan,3,12
20170112,12/01/2017,2017,1,12,January,Jan,5,12
20180112,12/01/2018,2018,1,12,January,Jan,6,12
20190112,12/01/2019,2019,1,12,January,Jan,7,12
20090113,13/01/2009,2009,1,13,January,Jan,3,13
20100113,13/01/2010,2010,1,13,January,Jan,4,13
20110113,13/01/2011,2011,1,13,January,Jan,5,13
20120113,13/01/2012,2012,1,13,January,Jan,6,13
20130113,13/01/2013,2013,1,13,January,Jan,1,13
20140113,13/01/2014,2014,1,13,January,Jan,2,13
20150113,13/01/2015,2015,1,13,January,Jan,3,13
20160113,13/01/2016,2016,1,13,January,Jan,4,13
20170113,13/01/2017,2017,1,13,January,Jan,6,13
20180113,13/01/2018,2018,1,13,January,Jan,7,13
20190113,13/01/2019,2019,1,13,January,Jan,1,13
20090114,14/01/2009,2009,1,14,January,Jan,4,14
20100114,14/01/2010,2010,1,14,January,Jan,5,14
20110114,14/01/2011,2011,1,14,January,Jan,6,14
20120114,14/01/2012,2012,1,14,January,Jan,7,14
20130114,14/01/2013,2013,1,14,January,Jan,2,14
20140114,14/01/2014,2014,1,14,January,Jan,3,14
20150114,14/01/2015,2015,1,14,January,Jan,4,14
20160114,14/01/2016,2016,1,14,January,Jan,5,14
20170114,14/01/2017,2017,1,14,January,Jan,7,14
20180114,14/01/2018,2018,1,14,January,Jan,1,14
20190114,14/01/2019,2019,1,14,January,Jan,2,14
20090115,15/01/2009,2009,1,15,January,Jan,5,15
20100115,15/01/2010,2010,1,15,January,Jan,6,15
20110115,15/01/2011,2011,1,15,January,Jan,7,15
20120115,15/01/2012,2012,1,15,January,Jan,1,15
20130115,15/01/2013,2013,1,15,January,Jan,3,15
20140115,15/01/2014,2014,1,15,January,Jan,4,15
20150115,15/01/2015,2015,1,15,January,Jan,5,15
20160115,15/01/2016,2016,1,15,January,Jan,6,15
20170115,15/01/2017,2017,1,15,January,Jan,1,15
20180115,15/01/2018,2018,1,15,January,Jan,2,15
20190115,15/01/2019,2019,1,15,January,Jan,3,15
20090116,16/01/2009,2009,1,16,January,Jan,6,16
20100116,16/01/2010,2010,1,16,January,Jan,7,16
20110116,16/01/2011,2011,1,16,January,Jan,1,16
20120116,16/01/2012,2012,1,16,January,Jan,2,16
20130116,16/01/2013,2013,1,16,January,Jan,4,16
20140116,16/01/2014,2014,1,16,January,Jan,5,16
20150116,16/01/2015,2015,1,16,January,Jan,6,16
20160116,16/01/2016,2016,1,16,January,Jan,7,16
20170116,16/01/2017,2017,1,16,January,Jan,2,16
20180116,16/01/2018,2018,1,16,January,Jan,3,16
20190116,16/01/2019,2019,1,16,January,Jan,4,16
20090117,17/01/2009,2009,1,17,January,Jan,7,17
20100117,17/01/2010,2010,1,17,January,Jan,1,17
20110117,17/01/2011,2011,1,17,January,Jan,2,17
20120117,17/01/2012,2012,1,17,January,Jan,3,17
20130117,17/01/2013,2013,1,17,January,Jan,5,17
20140117,17/01/2014,2014,1,17,January,Jan,6,17
20150117,17/01/2015,2015,1,17,January,Jan,7,17
20160117,17/01/2016,2016,1,17,January,Jan,1,17
20170117,17/01/2017,2017,1,17,January,Jan,3,17
20180117,17/01/2018,2018,1,17,January,Jan,4,17
20190117,17/01/2019,2019,1,17,January,Jan,5,17
20090118,18/01/2009,2009,1,18,January,Jan,1,18
20100118,18/01/2010,2010,1,18,January,Jan,2,18
20110118,18/01/2011,2011,1,18,January,Jan,3,18
20120118,18/01/2012,2012,1,18,January,Jan,4,18
20130118,18/01/2013,2013,1,18,January,Jan,6,18
20140118,18/01/2014,2014,1,18,January,Jan,7,18
20150118,18/01/2015,2015,1,18,January,Jan,1,18
20160118,18/01/2016,2016,1,18,January,Jan,2,18
20170118,18/01/2017,2017,1,18,January,Jan,4,18
20180118,18/01/2018,2018,1,18,January,Jan,5,18
20190118,18/01/2019,2019,1,18,January,Jan,6,18
20090119,19/01/2009,2009,1,19,January,Jan,2,19
20100119,19/01/2010,2010,1,19,January,Jan,3,19
20110119,19/01/2011,2011,1,19,January,Jan,4,19
20120119,19/01/2012,2012,1,19,January,Jan,5,19
20130119,19/01/2013,2013,1,19,January,Jan,7,19
20140119,19/01/2014,2014,1,19,January,Jan,1,19
20150119,19/01/2015,2015,1,19,January,Jan,2,19
20160119,19/01/2016,2016,1,19,January,Jan,3,19
20170119,19/01/2017,2017,1,19,January,Jan,5,19
20180119,19/01/2018,2018,1,19,January,Jan,6,19
20190119,19/01/2019,2019,1,19,January,Jan,7,19
20090120,20/01/2009,2009,1,20,January,Jan,3,20
20100120,20/01/2010,2010,1,20,January,Jan,4,20
20110120,20/01/2011,2011,1,20,January,Jan,5,20
20120120,20/01/2012,2012,1,20,January,Jan,6,20
20130120,20/01/2013,2013,1,20,January,Jan,1,20
20140120,20/01/2014,2014,1,20,January,Jan,2,20
20150120,20/01/2015,2015,1,20,January,Jan,3,20
20160120,20/01/2016,2016,1,20,January,Jan,4,20
20170120,20/01/2017,2017,1,20,January,Jan,6,20
20180120,20/01/2018,2018,1,20,January,Jan,7,20
20190120,20/01/2019,2019,1,20,January,Jan,1,20
20090121,21/01/2009,2009,1,21,January,Jan,4,21
20100121,21/01/2010,2010,1,21,January,Jan,5,21
20110121,21/01/2011,2011,1,21,January,Jan,6,21
20120121,21/01/2012,2012,1,21,January,Jan,7,21
20130121,21/01/2013,2013,1,21,January,Jan,2,21
20140121,21/01/2014,2014,1,21,January,Jan,3,21
20150121,21/01/2015,2015,1,21,January,Jan,4,21
20160121,21/01/2016,2016,1,21,January,Jan,5,21
20170121,21/01/2017,2017,1,21,January,Jan,7,21
20180121,21/01/2018,2018,1,21,January,Jan,1,21
20190121,21/01/2019,2019,1,21,January,Jan,2,21
20090122,22/01/2009,2009,1,22,January,Jan,5,22
20100122,22/01/2010,2010,1,22,January,Jan,6,22
20110122,22/01/2011,2011,1,22,January,Jan,7,22
20120122,22/01/2012,2012,1,22,January,Jan,1,22
20130122,22/01/2013,2013,1,22,January,Jan,3,22
20140122,22/01/2014,2014,1,22,January,Jan,4,22
20150122,22/01/2015,2015,1,22,January,Jan,5,22
20160122,22/01/2016,2016,1,22,January,Jan,6,22
20170122,22/01/2017,2017,1,22,January,Jan,1,22
20180122,22/01/2018,2018,1,22,January,Jan,2,22
20190122,22/01/2019,2019,1,22,January,Jan,3,22
20090123,23/01/2009,2009,1,23,January,Jan,6,23
20100123,23/01/2010,2010,1,23,January,Jan,7,23
20110123,23/01/2011,2011,1,23,January,Jan,1,23
20120123,23/01/2012,2012,1,23,January,Jan,2,23
20130123,23/01/2013,2013,1,23,January,Jan,4,23
20140123,23/01/2014,2014,1,23,January,Jan,5,23
20150123,23/01/2015,2015,1,23,January,Jan,6,23
20160123,23/01/2016,2016,1,23,January,Jan,7,23
20170123,23/01/2017,2017,1,23,January,Jan,2,23
20180123,23/01/2018,2018,1,23,January,Jan,3,23
20190123,23/01/2019,2019,1,23,January,Jan,4,23
20090124,24/01/2009,2009,1,24,January,Jan,7,24
20100124,24/01/2010,2010,1,24,January,Jan,1,24
20110124,24/01/2011,2011,1,24,January,Jan,2,24
20120124,24/01/2012,2012,1,24,January,Jan,3,24
20130124,24/01/2013,2013,1,24,January,Jan,5,24
20140124,24/01/2014,2014,1,24,January,Jan,6,24
20150124,24/01/2015,2015,1,24,January,Jan,7,24
20160124,24/01/2016,2016,1,24,January,Jan,1,24
20170124,24/01/2017,2017,1,24,January,Jan,3,24
20180124,24/01/2018,2018,1,24,January,Jan,4,24
20190124,24/01/2019,2019,1,24,January,Jan,5,24
20090125,25/01/2009,2009,1,25,January,Jan,1,25
20100125,25/01/2010,2010,1,25,January,Jan,2,25
20110125,25/01/2011,2011,1,25,January,Jan,3,25
20120125,25/01/2012,2012,1,25,January,Jan,4,25
20130125,25/01/2013,2013,1,25,January,Jan,6,25
20140125,25/01/2014,2014,1,25,January,Jan,7,25
20150125,25/01/2015,2015,1,25,January,Jan,1,25
20160125,25/01/2016,2016,1,25,January,Jan,2,25
20170125,25/01/2017,2017,1,25,January,Jan,4,25
20180125,25/01/2018,2018,1,25,January,Jan,5,25
20190125,25/01/2019,2019,1,25,January,Jan,6,25
20090126,26/01/2009,2009,1,26,January,Jan,2,26
20100126,26/01/2010,2010,1,26,January,Jan,3,26
20110126,26/01/2011,2011,1,26,January,Jan,4,26
20120126,26/01/2012,2012,1,26,January,Jan,5,26
20130126,26/01/2013,2013,1,26,January,Jan,7,26
20140126,26/01/2014,2014,1,26,January,Jan,1,26
20150126,26/01/2015,2015,1,26,January,Jan,2,26
20160126,26/01/2016,2016,1,26,January,Jan,3,26
20170126,26/01/2017,2017,1,26,January,Jan,5,26
20180126,26/01/2018,2018,1,26,January,Jan,6,26
20190126,26/01/2019,2019,1,26,January,Jan,7,26
20090127,27/01/2009,2009,1,27,January,Jan,3,27
20100127,27/01/2010,2010,1,27,January,Jan,4,27
20110127,27/01/2011,2011,1,27,January,Jan,5,27
20120127,27/01/2012,2012,1,27,January,Jan,6,27
20130127,27/01/2013,2013,1,27,January,Jan,1,27
20140127,27/01/2014,2014,1,27,January,Jan,2,27
20150127,27/01/2015,2015,1,27,January,Jan,3,27
20160127,27/01/2016,2016,1,27,January,Jan,4,27
20170127,27/01/2017,2017,1,27,January,Jan,6,27
20180127,27/01/2018,2018,1,27,January,Jan,7,27
20190127,27/01/2019,2019,1,27,January,Jan,1,27
20090128,28/01/2009,2009,1,28,January,Jan,4,28
20100128,28/01/2010,2010,1,28,January,Jan,5,28
20110128,28/01/2011,2011,1,28,January,Jan,6,28
20120128,28/01/2012,2012,1,28,January,Jan,7,28
20130128,28/01/2013,2013,1,28,January,Jan,2,28
20140128,28/01/2014,2014,1,28,January,Jan,3,28
20150128,28/01/2015,2015,1,28,January,Jan,4,28
20160128,28/01/2016,2016,1,28,January,Jan,5,28
20170128,28/01/2017,2017,1,28,January,Jan,7,28
20180128,28/01/2018,2018,1,28,January,Jan,1,28
20190128,28/01/2019,2019,1,28,January,Jan,2,28
20090129,29/01/2009,2009,1,29,January,Jan,5,29
20100129,29/01/2010,2010,1,29,January,Jan,6,29
20110129,29/01/2011,2011,1,29,January,Jan,7,29
20120129,29/01/2012,2012,1,29,January,Jan,1,29
20130129,29/01/2013,2013,1,29,January,Jan,3,29
20140129,29/01/2014,2014,1,29,January,Jan,4,29
20150129,29/01/2015,2015,1,29,January,Jan,5,29
20160129,29/01/2016,2016,1,29,January,Jan,6,29
20170129,29/01/2017,2017,1,29,January,Jan,1,29
20180129,29/01/2018,2018,1,29,January,Jan,2,29
20190129,29/01/2019,2019,1,29,January,Jan,3,29
20090130,30/01/2009,2009,1,30,January,Jan,6,30
20100130,30/01/2010,2010,1,30,January,Jan,7,30
20110130,30/01/2011,2011,1,30,January,Jan,1,30
20120130,30/01/2012,2012,1,30,January,Jan,2,30
20130130,30/01/2013,2013,1,30,January,Jan,4,30
20140130,30/01/2014,2014,1,30,January,Jan,5,30
20150130,30/01/2015,2015,1,30,January,Jan,6,30
20160130,30/01/2016,2016,1,30,January,Jan,7,30
20170130,30/01/2017,2017,1,30,January,Jan,2,30
20180130,30/01/2018,2018,1,30,January,Jan,3,30
20190130,30/01/2019,2019,1,30,January,Jan,4,30
20090131,31/01/2009,2009,1,31,January,Jan,7,31
20100131,31/01/2010,2010,1,31,January,Jan,1,31
20110131,31/01/2011,2011,1,31,January,Jan,2,31
20120131,31/01/2012,2012,1,31,January,Jan,3,31
20130131,31/01/2013,2013,1,31,January,Jan,5,31
20140131,31/01/2014,2014,1,31,January,Jan,6,31
20150131,31/01/2015,2015,1,31,January,Jan,7,31
20160131,31/01/2016,2016,1,31,January,Jan,1,31
20170131,31/01/2017,2017,1,31,January,Jan,3,31
20180131,31/01/2018,2018,1,31,January,Jan,4,31
20190131,31/01/2019,2019,1,31,January,Jan,5,31
20090201,1/02/2009,2009,2,1,February,Feb,1,32
20100201,1/02/2010,2010,2,1,February,Feb,2,32
20110201,1/02/2011,2011,2,1,February,Feb,3,32
20120201,1/02/2012,2012,2,1,February,Feb,4,32
20130201,1/02/2013,2013,2,1,February,Feb,6,32
20140201,1/02/2014,2014,2,1,February,Feb,7,32
20150201,1/02/2015,2015,2,1,February,Feb,1,32
20160201,1/02/2016,2016,2,1,February,Feb,2,32
20170201,1/02/2017,2017,2,1,February,Feb,4,32
20180201,1/02/2018,2018,2,1,February,Feb,5,32
20190201,1/02/2019,2019,2,1,February,Feb,6,32
20090202,2/02/2009,2009,2,2,February,Feb,2,33
20100202,2/02/2010,2010,2,2,February,Feb,3,33
20110202,2/02/2011,2011,2,2,February,Feb,4,33
20120202,2/02/2012,2012,2,2,February,Feb,5,33
20130202,2/02/2013,2013,2,2,February,Feb,7,33
20140202,2/02/2014,2014,2,2,February,Feb,1,33
20150202,2/02/2015,2015,2,2,February,Feb,2,33
20160202,2/02/2016,2016,2,2,February,Feb,3,33
20170202,2/02/2017,2017,2,2,February,Feb,5,33
20180202,2/02/2018,2018,2,2,February,Feb,6,33
20190202,2/02/2019,2019,2,2,February,Feb,7,33
20090203,3/02/2009,2009,2,3,February,Feb,3,34
20100203,3/02/2010,2010,2,3,February,Feb,4,34
20110203,3/02/2011,2011,2,3,February,Feb,5,34
20120203,3/02/2012,2012,2,3,February,Feb,6,34
20130203,3/02/2013,2013,2,3,February,Feb,1,34
20140203,3/02/2014,2014,2,3,February,Feb,2,34
20150203,3/02/2015,2015,2,3,February,Feb,3,34
20160203,3/02/2016,2016,2,3,February,Feb,4,34
20170203,3/02/2017,2017,2,3,February,Feb,6,34
20180203,3/02/2018,2018,2,3,February,Feb,7,34
20190203,3/02/2019,2019,2,3,February,Feb,1,34
20090204,4/02/2009,2009,2,4,February,Feb,4,35
20100204,4/02/2010,2010,2,4,February,Feb,5,35
20110204,4/02/2011,2011,2,4,February,Feb,6,35
20120204,4/02/2012,2012,2,4,February,Feb,7,35
20130204,4/02/2013,2013,2,4,February,Feb,2,35
20140204,4/02/2014,2014,2,4,February,Feb,3,35
20150204,4/02/2015,2015,2,4,February,Feb,4,35
20160204,4/02/2016,2016,2,4,February,Feb,5,35
20170204,4/02/2017,2017,2,4,February,Feb,7,35
20180204,4/02/2018,2018,2,4,February,Feb,1,35
20190204,4/02/2019,2019,2,4,February,Feb,2,35
20090205,5/02/2009,2009,2,5,February,Feb,5,36
20100205,5/02/2010,2010,2,5,February,Feb,6,36
20110205,5/02/2011,2011,2,5,February,Feb,7,36
20120205,5/02/2012,2012,2,5,February,Feb,1,36
20130205,5/02/2013,2013,2,5,February,Feb,3,36
20140205,5/02/2014,2014,2,5,February,Feb,4,36
20150205,5/02/2015,2015,2,5,February,Feb,5,36
20160205,5/02/2016,2016,2,5,February,Feb,6,36
20170205,5/02/2017,2017,2,5,February,Feb,1,36
20180205,5/02/2018,2018,2,5,February,Feb,2,36
20190205,5/02/2019,2019,2,5,February,Feb,3,36
20090206,6/02/2009,2009,2,6,February,Feb,6,37
20100206,6/02/2010,2010,2,6,February,Feb,7,37
20110206,6/02/2011,2011,2,6,February,Feb,1,37
20120206,6/02/2012,2012,2,6,February,Feb,2,37
20130206,6/02/2013,2013,2,6,February,Feb,4,37
20140206,6/02/2014,2014,2,6,February,Feb,5,37
20150206,6/02/2015,2015,2,6,February,Feb,6,37
20160206,6/02/2016,2016,2,6,February,Feb,7,37
20170206,6/02/2017,2017,2,6,February,Feb,2,37
20180206,6/02/2018,2018,2,6,February,Feb,3,37
20190206,6/02/2019,2019,2,6,February,Feb,4,37
20090207,7/02/2009,2009,2,7,February,Feb,7,38
20100207,7/02/2010,2010,2,7,February,Feb,1,38
20110207,7/02/2011,2011,2,7,February,Feb,2,38
20120207,7/02/2012,2012,2,7,February,Feb,3,38
20130207,7/02/2013,2013,2,7,February,Feb,5,38
20140207,7/02/2014,2014,2,7,February,Feb,6,38
20150207,7/02/2015,2015,2,7,February,Feb,7,38
20160207,7/02/2016,2016,2,7,February,Feb,1,38
20170207,7/02/2017,2017,2,7,February,Feb,3,38
20180207,7/02/2018,2018,2,7,February,Feb,4,38
20190207,7/02/2019,2019,2,7,February,Feb,5,38
20090208,8/02/2009,2009,2,8,February,Feb,1,39
20100208,8/02/2010,2010,2,8,February,Feb,2,39
20110208,8/02/2011,2011,2,8,February,Feb,3,39
20120208,8/02/2012,2012,2,8,February,Feb,4,39
20130208,8/02/2013,2013,2,8,February,Feb,6,39
20140208,8/02/2014,2014,2,8,February,Feb,7,39
20150208,8/02/2015,2015,2,8,February,Feb,1,39
20160208,8/02/2016,2016,2,8,February,Feb,2,39
20170208,8/02/2017,2017,2,8,February,Feb,4,39
20180208,8/02/2018,2018,2,8,February,Feb,5,39
20190208,8/02/2019,2019,2,8,February,Feb,6,39
20090209,9/02/2009,2009,2,9,February,Feb,2,40
20100209,9/02/2010,2010,2,9,February,Feb,3,40
20110209,9/02/2011,2011,2,9,February,Feb,4,40
20120209,9/02/2012,2012,2,9,February,Feb,5,40
20130209,9/02/2013,2013,2,9,February,Feb,7,40
20140209,9/02/2014,2014,2,9,February,Feb,1,40
20150209,9/02/2015,2015,2,9,February,Feb,2,40
20160209,9/02/2016,2016,2,9,February,Feb,3,40
20170209,9/02/2017,2017,2,9,February,Feb,5,40
20180209,9/02/2018,2018,2,9,February,Feb,6,40
20190209,9/02/2019,2019,2,9,February,Feb,7,40
20090210,10/02/2009,2009,2,10,February,Feb,3,41
20100210,10/02/2010,2010,2,10,February,Feb,4,41
20110210,10/02/2011,2011,2,10,February,Feb,5,41
20120210,10/02/2012,2012,2,10,February,Feb,6,41
20130210,10/02/2013,2013,2,10,February,Feb,1,41
20140210,10/02/2014,2014,2,10,February,Feb,2,41
20150210,10/02/2015,2015,2,10,February,Feb,3,41
20160210,10/02/2016,2016,2,10,February,Feb,4,41
20170210,10/02/2017,2017,2,10,February,Feb,6,41
20180210,10/02/2018,2018,2,10,February,Feb,7,41
20190210,10/02/2019,2019,2,10,February,Feb,1,41
20090211,11/02/2009,2009,2,11,February,Feb,4,42
20100211,11/02/2010,2010,2,11,February,Feb,5,42
20110211,11/02/2011,2011,2,11,February,Feb,6,42
20120211,11/02/2012,2012,2,11,February,Feb,7,42
20130211,11/02/2013,2013,2,11,February,Feb,2,42
20140211,11/02/2014,2014,2,11,February,Feb,3,42
20150211,11/02/2015,2015,2,11,February,Feb,4,42
20160211,11/02/2016,2016,2,11,February,Feb,5,42
20170211,11/02/2017,2017,2,11,February,Feb,7,42
20180211,11/02/2018,2018,2,11,February,Feb,1,42
20190211,11/02/2019,2019,2,11,February,Feb,2,42
20090212,12/02/2009,2009,2,12,February,Feb,5,43
20100212,12/02/2010,2010,2,12,February,Feb,6,43
20110212,12/02/2011,2011,2,12,February,Feb,7,43
20120212,12/02/2012,2012,2,12,February,Feb,1,43
20130212,12/02/2013,2013,2,12,February,Feb,3,43
20140212,12/02/2014,2014,2,12,February,Feb,4,43
20150212,12/02/2015,2015,2,12,February,Feb,5,43
20160212,12/02/2016,2016,2,12,February,Feb,6,43
20170212,12/02/2017,2017,2,12,February,Feb,1,43
20180212,12/02/2018,2018,2,12,February,Feb,2,43
20190212,12/02/2019,2019,2,12,February,Feb,3,43
20090213,13/02/2009,2009,2,13,February,Feb,6,44
20100213,13/02/2010,2010,2,13,February,Feb,7,44
20110213,13/02/2011,2011,2,13,February,Feb,1,44
20120213,13/02/2012,2012,2,13,February,Feb,2,44
20130213,13/02/2013,2013,2,13,February,Feb,4,44
20140213,13/02/2014,2014,2,13,February,Feb,5,44
20150213,13/02/2015,2015,2,13,February,Feb,6,44
20160213,13/02/2016,2016,2,13,February,Feb,7,44
20170213,13/02/2017,2017,2,13,February,Feb,2,44
20180213,13/02/2018,2018,2,13,February,Feb,3,44
20190213,13/02/2019,2019,2,13,February,Feb,4,44
20090214,14/02/2009,2009,2,14,February,Feb,7,45
20100214,14/02/2010,2010,2,14,February,Feb,1,45
20110214,14/02/2011,2011,2,14,February,Feb,2,45
20120214,14/02/2012,2012,2,14,February,Feb,3,45
20130214,14/02/2013,2013,2,14,February,Feb,5,45
20140214,14/02/2014,2014,2,14,February,Feb,6,45
20150214,14/02/2015,2015,2,14,February,Feb,7,45
20160214,14/02/2016,2016,2,14,February,Feb,1,45
20170214,14/02/2017,2017,2,14,February,Feb,3,45
20180214,14/02/2018,2018,2,14,February,Feb,4,45
20190214,14/02/2019,2019,2,14,February,Feb,5,45
20090215,15/02/2009,2009,2,15,February,Feb,1,46
