TransactionNumber,DateNumber,SpecieNumber,MarketingNumber,TermNumber,ImporterNumber,ExporterNumber,Quantity,UnitPrice,TotalPrice
119470,20141117,5550,303,904,1265,1168,56,646,36176
130810,20180815,6484,204,904,1265,1168,59,827,48793
130916,20131003,6515,202,904,1265,1168,68,338,22984
130954,20170710,6518,251,904,1265,1168,99,89,8811
130966,20170602,6520,363,904,1265,1168,94,528,49632
131001,20131029,6521,304,904,1265,1168,54,106,5724
131082,20090221,6530,203,904,1265,1168,99,907,89793
131123,20111222,6546,340,904,1265,1168,67,387,25929
131133,20111022,6549,316,904,1265,1168,2,391,782
131192,20180210,6552,308,904,1265,1168,97,401,38897
131232,20110525,6562,312,904,1265,1168,59,690,40710
131455,20110814,6615,264,904,1265,1168,8,300,2400
131463,20090926,6617,236,904,1265,1168,90,783,70470
135485,20181226,7147,268,904,1265,1168,24,399,9576
135562,20130813,7156,370,904,1265,1168,69,163,11247
135618,20110622,7162,303,904,1265,1168,35,319,11165
135657,20140820,7170,204,904,1265,1168,15,870,13050
135685,20170503,7172,227,904,1265,1168,56,241,13496
136120,20111003,7227,281,904,1265,1168,34,191,6494
136158,20180807,7231,345,904,1265,1168,27,969,26163
136202,20160702,7240,258,904,1265,1168,30,14,420
136238,20150203,7249,372,904,1265,1168,6,949,5694
136332,20100514,7259,354,904,1265,1168,2,861,1722
140564,20110528,8262,358,904,1265,1168,28,568,15904
141643,20100530,8528,214,904,1265,1168,89,372,33108
142266,20120511,8677,290,904,1265,1168,37,707,26159
142463,20130719,8740,361,904,1265,1168,84,804,67536
145227,20170730,9886,289,904,1265,1168,79,766,60514
145415,20090324,9922,314,904,1265,1168,30,84,2520
146483,20100909,10073,365,904,1265,1168,96,409,39264
147994,20151223,10604,253,904,1265,1168,24,551,13224
158354,20140906,11676,206,904,1265,1168,55,717,39435
126841,20141223,6085,359,904,1265,1127,31,359,11129
150431,20181217,10945,343,904,1265,1084,50,973,48650
153268,20160126,11398,270,904,1265,1249,3,606,1818
153269,20111021,11388,359,904,1265,1264,64,408,26112
130060,20151025,6374,224,940,1264,1265,40,573,22920
126838,20130715,6085,329,931,1264,1265,31,763,23653
130061,20130922,6374,345,931,1264,1265,7,672,4704
134944,20131004,7053,298,931,1264,1265,46,282,12972
126837,20151119,6085,318,931,1264,1265,26,995,25870
157879,20100503,11601,304,931,1264,1121,100,848,84800
126839,20170528,6085,255,906,1264,1265,38,555,21090
167095,20180329,12860,369,904,1264,1008,68,35,2380
160662,20100110,12142,284,938,1263,1146,70,475,33250
160919,20160519,12154,328,938,1263,1114,18,533,9594
123296,20111004,5860,258,903,1263,1121,6,525,3150
112057,20141124,4592,214,931,1260,1093,89,548,48772
112058,20150821,4592,324,931,1260,1084,42,955,40110
112054,20161002,4592,298,931,1259,1017,69,322,22218
112055,20140503,4592,236,931,1259,1084,15,391,5865
112056,20121205,4595,295,931,1259,1250,29,323,9367
120405,20160408,5644,297,923,1259,1121,98,425,41650
107165,20140423,4192,329,905,1259,1084,9,493,4437
128608,20110929,6206,236,904,1259,1004,11,664,7304
128611,20100523,6204,268,904,1259,1122,11,665,7315
128607,20171203,6204,227,904,1259,1004,38,100,3800
128609,20160113,6200,251,904,1259,1060,42,95,3990
128610,20150222,6201,353,904,1259,1122,56,683,38248
153247,20091024,11388,206,904,1259,1250,75,627,47025
150762,20161228,10991,204,904,1259,1250,42,654,27468
164395,20100319,12449,282,904,1259,1250,7,265,1855
150761,20100801,10991,270,904,1259,1250,46,359,16514
153246,20160610,11388,347,904,1259,1250,98,119,11662
164615,20130804,12512,329,978,1258,1185,63,798,50274
135394,20100906,7130,228,978,1258,1056,13,841,10933
160915,20180120,12154,296,978,1258,1114,62,453,28086
130659,20100817,6438,295,977,1258,1123,87,153,13311
130661,20100922,6438,340,977,1258,1250,60,640,38400
130658,20150624,6438,310,977,1258,1123,3,550,1650
130660,20131102,6438,316,977,1258,1250,8,795,6360
160660,20121117,12142,255,975,1258,1146,41,553,22673
160914,20150202,12154,260,975,1258,1114,80,202,16160
160918,20120508,12155,220,975,1258,1212,55,587,32285
160917,20140925,12155,290,975,1258,1212,7,896,6272
161096,20100708,12162,283,972,1258,1114,69,91,6279
160916,20121126,12154,249,972,1258,1114,30,402,12060
113661,20140502,4652,367,968,1258,1121,60,130,7800
135326,20091002,7122,243,954,1258,1223,97,769,74593
135327,20090512,7125,218,954,1258,1070,63,829,52227
165963,20150203,12705,285,954,1258,1040,58,79,4582
107168,20140115,4188,204,952,1258,1093,99,125,12375
133624,20100708,6840,210,951,1258,1165,59,68,4012
102366,20150306,3300,295,944,1258,1093,36,366,13176
102367,20151213,3300,251,944,1258,1249,47,258,12126
107170,20100625,4189,203,943,1258,1073,64,67,4288
108283,20090401,4259,213,943,1258,1084,9,518,4662
107172,20170819,4191,243,943,1258,1084,30,15,450
112062,20161225,4592,335,940,1258,1084,46,352,16192
164269,20160627,12407,272,940,1258,1121,36,202,7272
157816,20170301,11598,272,940,1258,1121,62,763,47306
130656,20090601,6438,295,939,1258,1123,83,240,19920
130657,20101112,6438,369,939,1258,1123,53,860,45580
166730,20140113,12773,297,939,1258,1093,9,591,5319
166731,20150520,12774,278,939,1258,1093,65,231,15015
135497,20091002,7154,292,939,1258,1123,17,95,1615
116583,20120518,5176,335,939,1258,1123,98,553,54194
145851,20160531,9981,335,939,1258,1084,49,802,39298
128363,20130902,6149,204,938,1258,1121,19,548,10412
100984,20170506,3234,289,937,1258,1050,29,979,28391
114250,20110311,4772,356,937,1258,1110,35,913,31955
114251,20161220,4773,255,937,1258,1250,6,995,5970
160783,20110615,12149,340,932,1258,1084,78,32,2496
112059,20100623,4592,205,931,1258,1024,39,128,4992
112061,20110217,4592,277,931,1258,1050,63,852,53676
112065,20110123,4592,278,931,1258,1249,15,616,9240
112067,20090212,4592,278,931,1258,1110,64,440,28160
112071,20111231,4592,326,931,1258,1121,45,443,19935
112074,20100311,4592,304,931,1258,1142,64,686,43904
113657,20090316,4652,208,931,1258,1084,89,129,11481
113663,20100619,4652,312,931,1258,1142,89,581,51709
127112,20101106,6115,214,931,1258,1123,92,930,85560
128256,20091229,6119,228,931,1258,1212,76,933,70908
155264,20091125,11562,239,931,1258,1084,52,428,22256
155265,20100710,11562,248,931,1258,1121,74,860,63640
157809,20110322,11599,298,931,1258,1110,7,462,3234
159635,20100321,11980,289,931,1258,1084,23,237,5451
163228,20090225,12371,345,931,1258,1084,22,986,21692
163230,20101228,12370,296,931,1258,1084,84,569,47796
163231,20110329,12371,303,931,1258,1110,10,519,5190
163236,20101211,12371,309,931,1258,1212,83,848,70384
164268,20101008,12409,243,931,1258,1084,25,378,9450
112063,20150330,4592,249,931,1258,1084,31,535,16585
112066,20131202,4592,292,931,1258,1249,2,93,186
112075,20180208,4592,281,931,1258,1146,23,358,8234
112078,20170319,4592,203,931,1258,1212,71,784,55664
112288,20180210,4620,249,931,1258,1142,91,582,52962
112548,20140222,4632,244,931,1258,1110,89,259,23051
112549,20140304,4632,274,931,1258,1212,25,73,1825
113658,20160919,4652,289,931,1258,1110,86,339,29154
113660,20141203,4652,208,931,1258,1121,53,688,36464
113665,20161221,4652,282,931,1258,1212,21,643,13503
154654,20131219,11535,294,931,1258,1121,43,267,11481
154850,20180302,11556,304,931,1258,1084,44,741,32604
154851,20180420,11556,347,931,1258,1121,30,586,17580
155266,20181219,11562,367,931,1258,1212,72,381,27432
157805,20140511,11599,209,931,1258,1084,30,540,16200
157812,20151019,11599,279,931,1258,1121,86,597,51342
157822,20130201,11599,242,931,1258,1212,70,723,50610
163234,20130302,12370,310,931,1258,1121,100,917,91700
164267,20160428,12407,206,931,1258,1084,6,475,2850
164271,20161220,12407,283,931,1258,1121,44,429,18876
164274,20140801,12409,232,931,1258,1121,2,879,1758
164275,20161228,12407,282,931,1258,1123,84,440,36960
164277,20180203,12409,230,931,1258,1123,86,676,58136
164278,20170729,12407,358,931,1258,1142,63,168,10584
164279,20150920,12407,335,931,1258,1168,76,851,64676
164280,20120822,12407,329,931,1258,1212,3,760,2280
112077,20131230,4592,299,931,1258,1212,6,927,5562
126769,20150122,6076,298,931,1258,1084,57,974,55518
126774,20170427,6076,304,931,1258,1121,25,332,8300
126776,20130123,6079,264,931,1258,1212,38,807,30666
128244,20180102,6117,239,931,1258,1084,20,270,5400
128250,20120904,6117,299,931,1258,1121,91,733,66703
112081,20171219,4595,372,931,1258,1250,79,723,57117
101317,20150704,3253,363,931,1258,1084,92,525,48300
101318,20161220,3255,295,931,1258,1084,77,343,26411
113085,20100702,4640,279,931,1258,1212,20,176,3520
113664,20100524,4652,220,931,1258,1212,72,485,34920
128254,20090112,6117,270,931,1258,1212,1,893,893
128255,20091230,6119,364,931,1258,1212,42,689,28938
154656,20111020,11535,353,931,1258,1212,81,537,43497
157808,20111014,11598,209,931,1258,1084,30,114,3420
157815,20100320,11601,270,931,1258,1121,33,82,2706
112070,20150126,4592,296,931,1258,1121,97,91,8827
112076,20170703,4592,292,931,1258,1212,72,349,25128
113083,20160520,4640,363,931,1258,1084,57,37,2109
126767,20170125,6076,285,931,1258,1093,98,22,2156
126768,20151206,6076,266,931,1258,1084,40,762,30480
126771,20170619,6077,204,931,1258,1121,6,914,5484
126773,20130427,6076,333,931,1258,1121,43,374,16082
126775,20150405,6077,246,931,1258,1212,36,824,29664
126777,20180619,6076,299,931,1258,1212,53,737,39061
128243,20150128,6117,292,931,1258,1084,47,651,30597
128247,20170527,6119,227,931,1258,1084,86,856,73616
154648,20180705,11535,364,931,1258,1084,93,976,90768
154649,20150623,11535,234,931,1258,1249,13,800,10400
154650,20170309,11535,246,931,1258,1110,37,140,5180
154651,20130607,11539,220,931,1258,1121,45,625,28125
154653,20170305,11535,296,931,1258,1121,23,802,18446
157803,20160227,11601,349,931,1258,1093,9,673,6057
157804,20150911,11598,240,931,1258,1223,5,99,495
157807,20170112,11601,246,931,1258,1084,22,624,13728
157810,20171208,11601,230,931,1258,1110,65,300,19500
157818,20180628,11598,284,931,1258,1121,78,812,63336
157824,20150209,11601,272,931,1258,1212,35,739,25865
157827,20140201,11598,298,931,1258,1212,50,647,32350
112069,20120304,4592,257,931,1258,1121,57,500,28500
112073,20121123,4592,205,931,1258,1158,95,390,37050
113659,20120914,4652,308,931,1258,1121,70,135,9450
157811,20160828,11599,329,931,1258,1121,57,889,50673
163233,20171002,12370,227,931,1258,1121,63,58,3654
164270,20170330,12407,354,931,1258,1121,38,739,28082
164273,20170119,12409,299,931,1258,1121,59,444,26196
126772,20111112,6076,354,931,1258,1121,93,789,73377
128249,20120627,6117,316,931,1258,1121,79,696,54984
112068,20160502,4592,234,931,1258,1121,25,974,24350
128248,20120702,6117,354,931,1258,1121,27,753,20331
128252,20090615,6119,335,931,1258,1123,88,404,35552
128253,20101128,6117,277,931,1258,1158,32,944,30208
154652,20130517,11535,373,931,1258,1121,7,929,6503
155442,20130312,11580,214,931,1258,1123,2,816,1632
157814,20100124,11601,230,931,1258,1121,99,688,68112
157817,20090808,11598,372,931,1258,1121,46,465,21390
158896,20170304,11844,232,928,1258,1172,48,331,15888
120406,20140822,5645,257,926,1258,1121,51,107,5457
107169,20100726,4188,227,925,1258,1093,9,997,8973
107167,20150323,4189,301,925,1258,1093,72,150,10800
107173,20140816,4189,260,925,1258,1212,28,391,10948
107174,20150730,4191,324,925,1258,1212,50,835,41750
107757,20140819,4215,363,925,1258,1212,33,939,30987
116584,20161024,5177,340,925,1258,1146,79,396,31284
141451,20140628,8494,294,925,1258,1093,87,333,28971
120408,20110608,5645,299,923,1258,1121,27,434,11718
120407,20181204,5645,369,923,1258,1121,45,118,5310
133625,20150609,6840,239,918,1258,1165,11,42,462
113909,20150930,4707,220,915,1258,1050,24,421,10104
112064,20101020,4592,295,914,1258,1084,17,336,5712
112072,20110303,4592,345,914,1258,1121,22,436,9592
157826,20090829,11605,331,914,1258,1212,89,643,57227
163229,20160203,12371,367,914,1258,1084,56,66,3696
163232,20151021,12369,361,914,1258,1121,41,993,40713
128246,20150405,6117,309,914,1258,1084,38,187,7106
126770,20151017,6076,303,914,1258,1084,2,550,1100
157828,20110129,11605,242,906,1258,1250,43,651,27993
163235,20090412,12371,366,906,1258,1123,69,698,48162
164272,20110701,12407,236,906,1258,1121,32,558,17856
164276,20100826,12407,264,906,1258,1123,34,497,16898
112060,20160502,4592,278,906,1258,1024,19,702,13338
112079,20140102,4592,349,906,1258,1212,13,919,11947
113662,20181030,4652,210,906,1258,1121,96,770,73920
127113,20120903,6115,322,906,1258,1212,52,902,46904
155267,20140504,11562,358,906,1258,1212,64,745,47680
157806,20140614,11599,243,906,1258,1084,67,307,20569
157813,20151104,11599,353,906,1258,1121,94,246,23124
157819,20180707,11599,202,906,1258,1123,17,772,13124
157820,20120330,11605,249,906,1258,1123,71,413,29323
157821,20120509,11603,264,906,1258,1146,23,753,17319
157823,20180529,11599,301,906,1258,1212,30,714,21420
157825,20140311,11605,316,906,1258,1212,82,395,32390
163227,20140513,12371,285,906,1258,1024,68,787,53516
128251,20111203,6118,289,906,1258,1123,2,371,742
113744,20150326,4664,209,906,1258,1250,60,885,53100
101532,20100522,3266,222,906,1258,1123,12,829,9948
101319,20180906,3257,367,906,1258,1146,88,47,4136
112080,20160315,4592,345,906,1258,1242,97,110,10670
113084,20120415,4640,268,906,1258,1121,7,578,4046
128245,20130408,6117,331,906,1258,1084,33,462,15246
154655,20160706,11535,373,906,1258,1121,100,341,34100
155443,20130613,11580,335,906,1258,1123,6,761,4566
130341,20131115,6415,314,906,1258,1165,67,855,57285
130340,20110408,6415,303,906,1258,1064,60,76,4560
107171,20090202,4191,328,905,1258,1084,16,223,3568
107755,20100102,4211,297,905,1258,1084,24,475,11400
107756,20171221,4212,341,905,1258,1084,6,692,4152
108282,20130124,4259,347,905,1258,1084,85,449,38165
108413,20150325,4267,277,905,1258,1084,92,370,34040
128613,20180503,6200,361,904,1258,1123,44,249,10956
100232,20171031,3069,273,904,1258,1248,83,110,9130
100161,20171002,3055,369,904,1258,1093,52,708,36816
100230,20170226,3072,277,904,1258,1248,16,826,13216
100231,20180626,3069,369,904,1258,1248,94,456,42864
100233,20160718,3069,204,904,1258,1093,44,599,26356
100234,20140802,3069,262,904,1258,1189,47,674,31678
128612,20100729,6200,340,904,1258,1067,79,838,66202
106257,20180517,4179,354,904,1258,1056,7,45,315
148215,20180716,10667,230,904,1258,1253,55,412,22660
159955,20180921,12007,210,904,1258,1250,88,468,41184
104938,20100116,3688,218,904,1258,1114,6,728,4368
104939,20100604,3688,253,904,1258,1146,52,74,3848
104941,20110812,3688,240,904,1258,1212,91,10,910
104940,20160720,3689,314,904,1258,1212,70,474,33180
103520,20090830,3460,274,904,1258,1024,12,654,7848
103522,20091117,3460,238,904,1258,1063,38,771,29298
103950,20100909,3552,264,904,1258,1063,93,194,18042
103951,20090526,3553,297,904,1258,1063,5,550,2750
103952,20090127,3554,292,904,1258,1063,82,134,10988
105208,20090412,3758,326,904,1258,1168,60,263,15780
105405,20101120,3834,246,904,1258,1168,21,250,5250
105406,20110719,3818,234,904,1258,1168,85,183,15555
106018,20090225,4052,227,904,1258,1214,91,433,39403
106073,20090405,4083,260,904,1258,1024,54,900,48600
106074,20090117,4084,297,904,1258,1214,78,776,60528
150566,20110603,10957,351,904,1258,1168,50,897,44850
151215,20090607,11053,369,904,1258,1168,33,802,26466
151346,20100223,11073,240,904,1258,1168,6,677,4062
152426,20090518,11283,278,904,1258,1168,99,320,31680
103519,20120229,3466,289,904,1258,1024,22,896,19712
103521,20140917,3466,238,904,1258,1063,40,370,14800
103523,20130429,3455,364,904,1258,1063,48,646,31008
103949,20160731,3550,239,904,1258,1063,80,644,51520
103953,20180906,3555,214,904,1258,1063,38,415,15770
104971,20180930,3704,232,904,1258,1168,17,401,6817
104972,20170630,3705,306,904,1258,1168,73,262,19126
104983,20130821,3711,298,904,1258,1168,25,739,18475
105095,20180414,3730,366,904,1258,1093,91,459,41769
105207,20170614,3757,273,904,1258,1093,49,781,38269
105209,20130117,3766,340,904,1258,1168,88,561,49368
105210,20160213,3772,320,904,1258,1168,78,730,56940
105211,20180330,3757,243,904,1258,1168,72,201,14472
105311,20170917,3808,363,904,1258,1093,29,425,12325
105403,20151217,3818,359,904,1258,1093,97,884,85748
105404,20180516,3822,359,904,1258,1168,59,486,28674
105436,20151019,3841,209,904,1258,1168,9,159,1431
106075,20131207,4080,272,904,1258,1214,47,348,16356
106238,20121129,4169,222,904,1258,1024,76,234,17784
107166,20131214,4188,322,904,1258,1050,79,73,5767
113885,20140929,4702,210,904,1258,1168,72,687,49464
115096,20130611,4927,208,904,1258,1254,11,409,4499
138356,20140408,7531,273,904,1258,1254,8,838,6704
151645,20130808,11153,266,904,1258,1168,33,988,32604
152344,20140104,11278,370,904,1258,1168,70,495,34650
158914,20160728,11852,351,904,1258,1254,68,321,21828
161539,20170607,12215,370,904,1258,1050,73,567,41391
142262,20111127,8679,289,904,1258,1050,100,232,23200
145288,20100509,9900,216,904,1258,1050,71,65,4615
145412,20100608,9922,273,904,1258,1050,45,626,28170
116250,20130721,5095,285,904,1258,1050,96,221,21216
117303,20181202,5254,274,904,1258,1050,47,542,25474
117850,20130417,5325,234,904,1258,1050,4,377,1508
118713,20160813,5470,341,904,1258,1050,74,449,33226
118984,20170513,5503,365,904,1258,1050,24,481,11544
141640,20181005,8528,222,904,1258,1050,46,38,1748
146476,20170331,10073,356,904,1258,1050,40,574,22960
146477,20151121,10073,204,904,1258,1050,100,642,64200
150979,20120831,11031,352,904,1258,1212,56,170,9520
151216,20130619,11061,278,904,1258,1212,99,913,90387
151347,20130919,11077,246,904,1258,1212,70,785,54950
151681,20150123,11162,290,904,1258,1212,69,541,37329
151722,20131230,11167,248,904,1258,1212,63,289,18207
151383,20140605,11095,340,904,1258,1212,87,619,53853
104937,20140220,3688,227,904,1258,1114,21,766,16086
152114,20121228,11237,324,904,1258,1212,40,472,18880
152245,20100903,11268,206,904,1258,1212,45,630,28350
153248,20150225,11390,214,904,1258,1212,100,922,92200
102365,20090309,3300,224,903,1258,1017,4,262,1048
112082,20101208,4595,335,903,1258,1250,8,872,6976
122368,20121129,5822,284,903,1258,1084,13,733,9529
123295,20180810,5859,306,903,1258,1250,32,332,10624
135271,20111124,7119,210,954,1257,1223,11,520,5720
112053,20100814,4595,234,931,1257,1250,56,471,26376
112047,20161021,4592,205,931,1257,1248,66,866,57156
112048,20170307,4594,268,931,1257,1248,40,486,19440
112049,20151007,4592,249,931,1257,1084,46,360,16560
112052,20150205,4592,224,931,1257,1121,84,405,34020
112547,20170406,4632,281,931,1257,1121,29,829,24041
157800,20141208,11599,202,931,1257,1121,73,293,21389
164264,20150818,12407,347,931,1257,1084,19,76,1444
164266,20180211,12409,266,931,1257,1121,79,313,24727
126763,20110731,6077,244,931,1257,1248,88,262,23056
126765,20160918,6076,310,931,1257,1248,56,673,37688
126764,20090922,6076,234,931,1257,1248,19,815,15485
113082,20131206,4640,326,931,1257,1084,64,487,31168
128242,20160906,6129,341,931,1257,1248,58,104,6032
154645,20140528,11535,203,931,1257,1084,98,299,29302
154647,20160731,11535,232,931,1257,1121,43,162,6966
157801,20170925,11601,206,931,1257,1121,49,669,32781
157802,20131229,11598,230,931,1257,1121,61,5,305
112051,20120412,4592,218,931,1257,1121,61,607,37027
164265,20170224,12407,343,931,1257,1121,93,635,59055
112050,20171221,4592,349,931,1257,1121,11,64,704
126766,20110827,6077,270,931,1257,1121,64,196,12544
154646,20131218,11535,322,931,1257,1121,15,483,7245
107164,20110330,4189,364,925,1257,1093,1,156,156
130339,20140616,6415,230,906,1257,1165,77,555,42735
128606,20130509,6200,351,904,1257,1060,73,319,23287
150677,20161105,10968,322,904,1257,1223,66,547,36102
146474,20160306,10073,213,904,1257,1168,44,359,15796
146475,20140413,10073,287,904,1257,1232,46,114,5244
122367,20131025,5822,201,903,1257,1084,31,678,21018
112083,20090828,4595,268,940,1256,1190,94,518,48692
112084,20090327,4595,251,931,1256,1190,13,997,12961
113086,20091122,4645,244,931,1256,1190,9,909,8181
126778,20090928,6085,255,931,1256,1190,80,160,12800
157829,20140101,11603,251,931,1256,1190,23,122,2806
164281,20180202,12410,356,931,1256,1190,52,278,14456
106031,20130702,4067,295,916,1256,1209,44,87,3828
112085,20090403,4595,292,914,1256,1190,63,231,14553
164282,20160227,12410,306,906,1256,1190,12,306,3672
153315,20140624,11439,264,904,1256,1209,39,99,3861
105966,20110816,4048,246,901,1256,1209,55,33,1815
106030,20111009,4067,312,901,1256,1209,15,679,10185
106080,20091227,4088,328,901,1256,1209,93,832,77376
106087,20090918,4093,234,901,1256,1209,47,91,4277
106103,20090202,4100,274,901,1256,1209,72,810,58320
106130,20110626,4115,202,901,1256,1209,71,453,32163
106208,20090123,4161,204,901,1256,1209,14,294,4116
131653,20111021,6663,312,901,1256,1209,19,77,1463
131665,20110622,6670,248,901,1256,1209,100,679,67900
131675,20110624,6678,343,901,1256,1209,1,874,874
100001,20170514,3002,361,901,1256,1209,6,75,450
100005,20121104,3004,220,901,1256,1209,89,196,17444
102781,20160920,3385,326,901,1256,1209,5,311,1555
106019,20150305,4061,351,901,1256,1209,25,705,17625
106076,20161004,4085,277,901,1256,1209,5,520,2600
106121,20140919,4106,333,901,1256,1209,76,420,31920
106127,20130503,4112,333,901,1256,1209,40,798,31920
106133,20180722,4118,316,901,1256,1209,60,218,13080
106134,20150512,4119,285,901,1256,1209,63,826,52038
106135,20170315,4120,224,901,1256,1209,60,749,44940
106162,20140611,4137,270,901,1256,1209,36,739,26604
106196,20161214,4151,351,901,1256,1209,14,987,13818
106203,20140404,4157,356,901,1256,1209,44,356,15664
106215,20170827,4165,370,901,1256,1209,84,26,2184
106240,20131103,4170,227,901,1256,1209,98,478,46844
131650,20181231,6661,295,901,1256,1209,37,644,23828
131658,20150510,6666,309,901,1256,1209,70,823,57610
131671,20180810,6674,234,901,1256,1209,55,509,27995
148280,20121013,10689,239,901,1256,1209,9,772,6948
148573,20100922,10740,213,979,1254,1187,18,46,828
165072,20100123,12574,328,967,1254,1146,20,969,19380
165071,20150206,12574,349,967,1254,1146,45,137,6165
107161,20121018,4188,292,943,1254,1084,91,587,53417
154640,20141203,11535,285,940,1254,1084,21,658,13818
166728,20180520,12773,343,939,1254,1093,60,87,5220
166729,20140728,12774,218,939,1254,1093,61,409,24949
150292,20111125,10926,303,937,1254,1168,55,786,43230
113829,20130704,4687,210,937,1254,1168,49,624,30576
150314,20140118,10928,262,937,1254,1168,81,924,74844
150339,20120807,10932,324,936,1254,1093,25,508,12700
150338,20160121,10932,220,936,1254,1093,100,699,69900
112046,20090615,4592,289,931,1254,1121,91,129,11739
112042,20120701,4592,304,931,1254,1084,71,474,33654
112546,20150831,4632,309,931,1254,1121,18,435,7830
113653,20140826,4652,203,931,1254,1121,58,279,16182
113656,20130109,4653,244,931,1254,1121,5,140,700
127111,20171126,6112,356,931,1254,1121,8,427,3416
130038,20120709,6376,354,931,1254,1121,94,673,63262
155262,20160405,11562,349,931,1254,1084,79,183,14457
155263,20121114,11562,202,931,1254,1121,62,638,39556
157794,20170808,11599,218,931,1254,1223,33,987,32571
157796,20171011,11599,202,931,1254,1121,15,844,12660
159349,20161127,11974,213,931,1254,1121,36,895,32220
159839,20150105,11997,347,931,1254,1121,28,115,3220
113743,20170406,4664,248,931,1254,1121,69,684,47196
126751,20151104,6079,337,931,1254,1084,94,78,7332
126753,20170221,6076,264,931,1254,1084,79,304,24016
126757,20170814,6079,249,931,1254,1121,56,130,7280
126762,20180113,6076,296,931,1254,1121,24,145,3480
128239,20160630,6117,296,931,1254,1121,52,951,49452
101032,20140522,3240,351,931,1254,1121,79,321,25359
101530,20120206,3266,277,931,1254,1084,44,597,26268
101531,20160213,3266,351,931,1254,1121,79,922,72838
113081,20110304,4640,227,931,1254,1121,65,844,54860
126752,20110812,6076,289,931,1254,1084,54,649,35046
126754,20101113,6085,282,931,1254,1121,97,527,51119
128236,20100116,6119,240,931,1254,1084,38,478,18164
157799,20110925,11598,262,931,1254,1121,1,82,82
112041,20150712,4592,242,931,1254,1084,70,478,33460
126756,20150703,6077,343,931,1254,1121,11,149,1639
126761,20161026,6076,264,931,1254,1121,59,988,58292
128238,20151113,6117,281,931,1254,1121,41,991,40631
128240,20170122,6118,274,931,1254,1121,94,677,63638
128241,20130709,6119,343,931,1254,1121,23,458,10534
154644,20151123,11535,318,931,1254,1121,28,781,21868
157797,20170505,11601,351,931,1254,1121,14,781,10934
113652,20100124,4652,361,931,1254,1121,75,206,15450
157795,20110726,11599,304,931,1254,1121,2,993,1986
112045,20170617,4592,214,931,1254,1121,6,394,2364
112545,20130502,4632,275,931,1254,1121,30,404,12120
163226,20180728,12370,359,931,1254,1121,22,381,8382
112044,20170518,4592,278,931,1254,1121,23,423,9729
126760,20150112,6076,258,931,1254,1121,100,210,21000
154643,20140904,11535,260,931,1254,1121,40,253,10120
155441,20180526,11580,227,931,1254,1121,38,331,12578
157798,20101221,11598,273,931,1254,1121,50,548,27400
107159,20170723,4188,257,925,1254,1093,40,414,16560
120404,20091021,5645,361,923,1254,1121,69,84,5796
112040,20161229,4592,329,923,1254,1084,97,419,40643
112043,20140620,4592,279,923,1254,1121,46,778,35788
113655,20141213,4653,242,923,1254,1121,70,114,7980
133395,20141008,6832,328,923,1254,1121,25,973,24325
126759,20110427,6076,364,923,1254,1121,49,6,294
113742,20160306,4664,299,923,1254,1084,80,787,62960
128237,20120824,6117,264,923,1254,1121,15,540,8100
126755,20091013,6077,289,923,1254,1121,21,838,17598
