TransactionKey,Quantity,UnitPrice,TotalPrice
100157,2.0,728,1456.0
100158,2.0,801,1602.0
100159,2.0,532,1064.0
100160,10.0,905,9050.0
100161,5.0,564,2820.0
100162,2.0,884,1768.0
100163,1.0,912,912.0
100164,4.0,582,2328.0
100165,1.0,998,998.0
100166,2.0,903,1806.0
100167,1.0,759,759.0
100168,1.0,704,704.0
100169,2.0,791,1582.0
100170,5.0,642,3210.0
100171,1.0,675,675.0
100172,1.0,678,678.0
100173,1.0,944,944.0
100174,1.0,574,574.0
100175,1.0,696,696.0
100176,1.0,670,670.0
100177,1.0,739,739.0
100178,8.0,804,6432.0
100179,1.0,581,581.0
100180,4.0,623,2492.0
100181,3.0,527,1581.0
100182,1.0,577,577.0
100183,2.0,703,1406.0
100184,1.0,655,655.0
100185,4.0,877,3508.0
100186,26.0,769,19994.0
100187,2.0,595,1190.0
100188,1.0,950,950.0
100189,1.0,660,660.0
100190,57.0,933,53181.0
100191,1.0,567,567.0
100192,4.0,561,2244.0
100193,1.0,973,973.0
100194,1.0,779,779.0
100195,1.0,957,957.0
100196,34.0,971,33014.0
100197,1.0,685,685.0
100198,2.0,962,1924.0
100199,2.0,626,1252.0
100200,2.0,941,1882.0
100201,2.0,696,1392.0
100202,3.0,833,2499.0
100203,1.0,943,943.0
100204,1.0,934,934.0
100205,1.0,887,887.0
100206,2.0,867,1734.0
100207,5.0,741,3705.0
100208,2.0,969,1938.0
100209,2.0,835,1670.0
100210,2.0,833,1666.0
100211,1.0,689,689.0
100212,1.0,783,783.0
100213,1.0,578,578.0
100214,3.0,971,2913.0
100215,1.0,628,628.0
100216,1.0,727,727.0
100217,1.0,618,618.0
100218,1.0,885,885.0
100219,2.0,968,1936.0
100220,2.0,634,1268.0
100221,2.0,851,1702.0
100222,1.0,592,592.0
100223,3.0,951,2853.0
100224,3.0,519,1557.0
100225,1.0,548,548.0
100226,5.0,991,4955.0
100227,50.0,661,33050.0
100228,1.0,930,930.0
100229,454.0,814,369556.0
100230,3.0,910,2730.0
100231,7.0,851,5957.0
100232,3.0,966,2898.0
100233,3.0,643,1929.0
100234,2.0,644,1288.0
100235,1.0,823,823.0
100236,1.0,670,670.0
100237,1.0,699,699.0
100238,2.0,679,1358.0
100239,8.0,961,7688.0
100240,1.0,756,756.0
100241,6.0,938,5628.0
100242,4.0,673,2692.0
100243,3.0,727,2181.0
100244,1.0,892,892.0
100245,1.0,687,687.0
100246,1.0,547,547.0
100247,106.0,719,76214.0
100248,4.0,611,2444.0
100249,2.0,876,1752.0
100250,6.0,527,3162.0
100251,90.0,796,71640.0
100252,10.0,832,8320.0
100253,45.0,809,36405.0
100254,12.0,640,7680.0
100255,138.0,671,92598.0
100256,20.0,972,19440.0
100257,26.0,745,19370.0
100258,1.0,924,924.0
100259,27.0,850,22950.0
100260,27.0,808,21816.0
100261,1.0,904,904.0
100262,1.0,635,635.0
100263,1.0,584,584.0
100264,2100.0,713,1497300.0
100265,4.0,638,2552.0
100266,1.0,915,915.0
100267,1.0,999,999.0
100268,11.0,629,6919.0
100269,20.0,909,18180.0
100270,1.0,537,537.0
100271,1.0,919,919.0
100272,3.0,873,2619.0
100273,3.0,941,2823.0
100274,6.0,646,3876.0
100275,2.0,809,1618.0
100276,2.0,579,1158.0
100277,2.0,996,1992.0
100278,1.0,909,909.0
100279,1.0,696,696.0
100280,1.0,570,570.0
100281,1.0,529,529.0
100282,2.0,947,1894.0
100283,1.0,990,990.0
100284,26.0,833,21658.0
100285,2.0,516,1032.0
100286,22.0,525,11550.0
100287,1.0,945,945.0
100288,2.0,826,1652.0
100289,1.0,978,978.0
100290,16.0,618,9888.0
100291,2.0,690,1380.0
100292,1.0,921,921.0
100293,1.0,658,658.0
100294,30.0,968,29040.0
100295,1.0,741,741.0
100296,1.0,844,844.0
100297,1.0,884,884.0
100298,2.0,568,1136.0
100299,1.0,685,685.0
100300,1.0,944,944.0
100301,1.0,916,916.0
100302,1.0,841,841.0
100303,1.0,725,725.0
100304,2.0,663,1326.0
100305,1.0,806,806.0
100306,1.0,949,949.0
100307,6.0,914,5484.0
100308,3.0,620,1860.0
100309,1.0,555,555.0
100310,3.0,704,2112.0
100311,1.0,890,890.0
100312,4.0,820,3280.0
100313,1.0,883,883.0
100314,1.0,743,743.0
100315,2.0,929,1858.0
100316,1.0,769,769.0
100317,1.0,789,789.0
100318,2.0,980,1960.0
100319,30.0,948,28440.0
100320,1.0,624,624.0
100321,1.0,587,587.0
100322,24.0,952,22848.0
100323,1.0,911,911.0
100324,1.0,555,555.0
100325,4.0,568,2272.0
100326,4.0,729,2916.0
100327,28.0,677,18956.0
100328,20.0,787,15740.0
100329,6.0,504,3024.0
100330,12.0,754,9048.0
100331,56.0,935,52360.0
100332,100.0,693,69300.0
100333,5.0,890,4450.0
100334,2.0,667,1334.0
100335,4.0,599,2396.0
100336,9.0,755,6795.0
100337,11.0,991,10901.0
100338,20.0,997,19940.0
100339,5.0,667,3335.0
100340,3.0,765,2295.0
100341,36.0,980,35280.0
100342,1.0,521,521.0
100343,20.0,643,12860.0
100344,40.0,543,21720.0
100345,100.0,993,99300.0
100346,10.0,914,9140.0
100347,200.0,984,196800.0
100348,20.0,679,13580.0
100349,10.0,962,9620.0
100350,150.0,748,112200.0
100351,90.0,856,77040.0
100352,200.0,568,113600.0
100353,20.0,602,12040.0
100354,18.0,898,16164.0
100355,100.0,520,52000.0
100356,10.0,845,8450.0
100357,200.0,807,161400.0
100358,100.0,636,63600.0
100359,10.0,698,6980.0
100360,10.0,575,5750.0
100361,10.0,502,5020.0
100362,60.0,833,49980.0
100363,2080.0,977,2032160.0
100364,100.0,509,50900.0
100365,60.0,836,50160.0
100366,100.0,980,98000.0
100367,64.0,932,59648.0
100368,9.0,768,6912.0
100369,200.0,634,126800.0
100370,100.0,889,88900.0
100371,20.0,546,10920.0
100372,150.0,928,139200.0
100373,130.0,503,65390.0
100374,2.0,736,1472.0
100375,9.0,910,8190.0
100376,150.0,666,99900.0
100377,11.0,964,10604.0
100378,40.0,842,33680.0
100379,90.0,558,50220.0
100380,40.0,544,21760.0
100381,20.0,885,17700.0
100382,140.0,603,84420.0
100383,4.0,970,3880.0
100384,30.0,950,28500.0
100385,60.0,751,45060.0
100386,30.0,534,16020.0
100387,10.0,729,7290.0
100388,30.0,963,28890.0
100389,4.0,924,3696.0
100390,279.0,864,241056.0
100391,310.0,836,259160.0
100392,5060.0,588,2975280.0
100393,12.0,996,11952.0
100394,120.0,871,104520.0
100395,50.0,939,46950.0
100396,5210.0,898,4678580.0
100397,1.0,835,835.0
100398,1.0,777,777.0
100399,20.0,792,15840.0
100400,80.0,843,67440.0
100401,109.0,915,99735.0
100402,1.0,601,601.0
100403,5.0,860,4300.0
100404,600.0,662,397200.0
100405,21.0,908,19068.0
100406,15.0,952,14280.0
100407,10.0,943,9430.0
100408,5.0,729,3645.0
100409,10.0,765,7650.0
100410,5.0,725,3625.0
100411,60.0,689,41340.0
100412,10030.0,711,7131330.0
100413,20.0,755,15100.0
100414,2.0,751,1502.0
100415,190.0,928,176320.0
100416,10.0,597,5970.0
100417,20.0,782,15640.0
100418,20.0,800,16000.0
100419,200.0,925,185000.0
100420,4.0,668,2672.0
100421,270.0,721,194670.0
100422,1.0,573,573.0
100423,19.0,879,16701.0
100424,450.0,557,250650.0
100425,46.0,674,31004.0
100426,1.0,508,508.0
100427,150.0,525,78750.0
100428,1.0,959,959.0
100429,1.0,572,572.0
100430,20.0,955,19100.0
100431,1.0,521,521.0
100432,5.0,972,4860.0
100433,2.0,788,1576.0
100434,2.0,529,1058.0
100435,2.0,558,1116.0
100436,92.0,819,75348.0
100437,71.0,849,60279.0
100438,2.0,535,1070.0
100439,20.0,687,13740.0
100440,20.0,998,19960.0
100441,20.0,557,11140.0
100442,21.0,813,17073.0
100443,2200.0,760,1672000.0
100444,1.0,972,972.0
100445,10.0,958,9580.0
100446,80.0,514,41120.0
100447,50.0,918,45900.0
100448,20.0,571,11420.0
100449,30.0,891,26730.0
100450,60.0,654,39240.0
100451,20.0,867,17340.0
100452,20.0,887,17740.0
100453,1.0,786,786.0
100454,20.0,814,16280.0
100455,200.0,673,134600.0
100456,50.0,903,45150.0
100457,1.0,880,880.0
100458,2.0,916,1832.0
100459,1.0,800,800.0
100460,10.0,827,8270.0
100461,30.0,613,18390.0
100462,10.0,791,7910.0
100463,3.0,586,1758.0
100464,20.0,689,13780.0
100465,10.0,610,6100.0
100466,10.0,869,8690.0
100467,10.0,916,9160.0
100468,4400.0,776,3414400.0
100469,20.0,976,19520.0
100470,10.0,933,9330.0
100471,450.0,742,333900.0
100472,1.0,891,891.0
100473,2.0,889,1778.0
100474,20.0,631,12620.0
100475,40.0,571,22840.0
100476,4.0,820,3280.0
100477,10.0,1000,10000.0
100478,100.0,956,95600.0
100479,130.0,707,91910.0
100480,20.0,501,10020.0
100481,20.0,665,13300.0
100482,500.0,555,277500.0
100483,240.0,590,141600.0
100484,2.0,751,1502.0
100485,100.0,558,55800.0
100486,6000.0,699,4194000.0
100487,40.0,701,28040.0
100488,200.0,606,121200.0
100489,120.0,956,114720.0
100490,600.0,662,397200.0
100491,9.0,913,8217.0
100492,1.0,869,869.0
100493,600.0,922,553200.0
100494,200.0,565,113000.0
100495,20.0,828,16560.0
100496,140.0,958,134120.0
100497,100.0,605,60500.0
100498,2.0,662,1324.0
100499,40.0,812,32480.0
100500,150.0,971,145650.0
100501,100.0,814,81400.0
100502,10.0,680,6800.0
100503,300.0,603,180900.0
100504,21.0,835,17535.0
100505,20.0,848,16960.0
100506,100.0,535,53500.0
100507,100.0,894,89400.0
100508,1040.0,653,679120.0
100509,100.0,611,61100.0
100510,1000.0,908,908000.0
100511,20.0,731,14620.0
100512,100.0,627,62700.0
100513,300.0,607,182100.0
100514,40.0,952,38080.0
100515,10.0,539,5390.0
100516,30.0,562,16860.0
100517,30.0,918,27540.0
100518,40.0,677,27080.0
100519,30.0,622,18660.0
100520,30.0,974,29220.0
100521,30.0,764,22920.0
100522,300.0,883,264900.0
100523,1.0,709,709.0
100524,20.0,949,18980.0
100525,300.0,902,270600.0
100526,2350.0,609,1431150.0
100527,900.0,843,758700.0
100528,20.0,981,19620.0
100529,100.0,612,61200.0
100530,40.0,985,39400.0
100531,80.0,565,45200.0
100532,1000.0,682,682000.0
100533,40.0,781,31240.0
100534,100.0,679,67900.0
100535,1350.0,701,946350.0
100536,17600.0,553,9732800.0
100537,150.0,823,123450.0
100538,30.0,549,16470.0
100539,100.0,851,85100.0
100540,2000.0,760,1520000.0
100541,300.0,558,167400.0
100542,20.0,950,19000.0
100543,100.0,865,86500.0
100544,1000.0,872,872000.0
100545,2.0,838,1676.0
100546,100.0,913,91300.0
100547,100.0,714,71400.0
100548,150.0,728,109200.0
100549,1.0,871,871.0
100550,100.0,629,62900.0
100551,175.0,656,114800.0
100552,1.0,811,811.0
100553,3.0,891,2673.0
100554,1.0,973,973.0
100555,2.0,982,1964.0
100556,6.0,735,4410.0
100557,1.0,754,754.0
100558,1.0,885,885.0
100559,1.0,847,847.0
100560,1.0,554,554.0
100561,1.0,830,830.0
100562,1.0,525,525.0
100563,6.0,990,5940.0
100564,198.1,723,143226.3
100565,1.0,864,864.0
100566,3.0,802,2406.0
100567,2.0,564,1128.0
100568,1.0,529,529.0
100569,1.0,780,780.0
100570,1.0,909,909.0
100571,525.0,576,302400.0
100572,1.0,629,629.0
100573,10.0,574,5740.0
100574,1.0,761,761.0
100575,2.0,607,1214.0
100576,3.0,779,2337.0
100577,5.0,567,2835.0
100578,5.0,644,3220.0
100579,1.0,690,690.0
100580,2.0,933,1866.0
100581,4.0,979,3916.0
100582,2.0,790,1580.0
100583,2.0,917,1834.0
100584,3.0,510,1530.0
100585,2.0,781,1562.0
100586,1.0,677,677.0
100587,1.0,992,992.0
100588,1.0,586,586.0
100589,4.0,956,3824.0
100590,4.0,819,3276.0
100591,1.0,833,833.0
100592,1.0,590,590.0
100593,1.0,922,922.0
100594,10.0,797,7970.0
100595,1.0,570,570.0
100596,2.0,831,1662.0
100597,1.0,529,529.0
100598,3.0,663,1989.0
100599,1.0,671,671.0
100600,3.0,670,2010.0
100601,1.0,966,966.0
100602,1.0,757,757.0
100603,3.0,821,2463.0
100604,0.001,949,0.949
100605,1.0,998,998.0
100606,10.0,645,6450.0
100607,1.0,767,767.0
100608,1.0,819,819.0
100609,6.0,923,5538.0
100610,2.0,674,1348.0
100611,1.0,927,927.0
100612,2.0,661,1322.0
100613,1.0,810,810.0
100614,4.0,722,2888.0
100615,1.0,645,645.0
100616,182.0,837,152334.0
100617,91.0,610,55510.0
100618,3.0,567,1701.0
100619,53.0,690,36570.0
100620,54.0,932,50328.0
100621,1.0,787,787.0
100622,2.0,671,1342.0
100623,1.0,853,853.0
100624,6.0,847,5082.0
100625,1.0,555,555.0
100626,8.0,504,4032.0
100627,1.0,785,785.0
100628,1.0,660,660.0
100629,1.0,813,813.0
100630,1.0,905,905.0
100631,24.0,909,21816.0
100632,1.0,781,781.0
100633,117.8,622,73271.6
100634,40.6,680,27608.0
100635,4.0,712,2848.0
100636,3.0,777,2331.0
100637,11.6,623,7226.8
100638,27.5,519,14272.5
100639,20.0,548,10960.0
100640,84.6,571,48306.6
100641,72.2,957,69095.4
100642,34.0,591,20094.0
100643,50.0,905,45250.0
100644,4.0,635,2540.0
100645,10.0,783,7830.0
100646,285.2,509,145166.8
100647,40.8,721,29416.8
100648,80.0,750,60000.0
100649,286.77,638,182959.26
100650,84.0,686,57624.0
100651,18.4,862,15860.8
100652,96.0,723,69408.0
100653,1.0,964,964.0
100654,6.0,676,4056.0
100655,100.0,611,61100.0
100656,5.0,869,4345.0
100657,2.0,511,1022.0
100658,1.0,895,895.0
100659,100.0,893,89300.0
100660,1.0,628,628.0
100661,1.0,561,561.0
100662,1.0,780,780.0
100663,3.0,893,2679.0
100664,1.0,838,838.0
100665,2.0,904,1808.0
100666,5.0,873,4365.0
100667,17.0,916,15572.0
100668,1.0,944,944.0
100669,2.0,771,1542.0
100670,2.0,836,1672.0
100671,2.0,694,1388.0
100672,71.0,901,63971.0
100673,200.0,734,146800.0
100674,47.0,783,36801.0
100675,350.0,603,211050.0
100676,1.0,655,655.0
100677,1.0,676,676.0
100678,120.0,800,96000.0
100679,1.0,826,826.0
100680,100.0,976,97600.0
100681,100.0,912,91200.0
100682,1.0,592,592.0
100683,1.0,955,955.0
100684,1.0,844,844.0
100685,5.0,532,2660.0
100686,1.0,897,897.0
100687,1.5,979,1468.5
100688,4.0,863,3452.0
100689,5.0,758,3790.0
100690,867.0,885,767295.0
100691,2.0,643,1286.0
100692,0.5,776,388.0
100693,1388.0,786,1090968.0
100694,993.0,671,666303.0
100695,1.0,629,629.0
100696,4.0,628,2512.0
100697,634.0,806,511004.0
100698,63.0,551,34713.0
100699,1.0,960,960.0
100700,115.0,509,58535.0
100701,3.0,961,2883.0
100702,1.0,654,654.0
100703,1.0,684,684.0
100704,2.45,735,1800.75
100705,1400.0,617,863800.0
100706,272.0,918,249696.0
100707,250.0,729,182250.0
100708,17.0,624,10608.0
100709,2.0,644,1288.0
100710,1.0,822,822.0
100711,5.0,818,4090.0
100712,86.0,903,77658.0
100713,4.0,617,2468.0
100714,2.0,876,1752.0
100715,1.0,561,561.0
100716,1.0,539,539.0
100717,1.0,514,514.0
100718,2.0,554,1108.0
100719,2.0,713,1426.0
100720,1.0,503,503.0
100721,7.0,944,6608.0
100722,1.0,885,885.0
100723,1.0,691,691.0
100724,1.0,796,796.0
100725,24.0,585,14040.0
100726,2.0,652,1304.0
100727,1.0,698,698.0
100728,0.01,949,9.49
100729,2.0,577,1154.0
100730,1.0,813,813.0
100731,1.0,688,688.0
100732,11.0,583,6413.0
100733,2.0,560,1120.0
100734,13.5,667,9004.5
100735,1.0,555,555.0
100736,63.0,635,40005.0
100737,1.0,648,648.0
100738,2.0,955,1910.0
100739,1.0,973,973.0
100740,2.0,517,1034.0
100741,13.0,757,9841.0
100742,2.0,735,1470.0
100743,3.0,830,2490.0
100744,1.0,976,976.0
100745,1.0,768,768.0
100746,1.0,658,658.0
100747,2.0,677,1354.0
100748,1.0,822,822.0
100749,1.0,643,643.0
100750,3.0,788,2364.0
100751,1.5,565,847.5
100752,1.0,704,704.0
100753,1.0,508,508.0
100754,1.0,702,702.0
100755,76.0,695,52820.0
100756,13.0,927,12051.0
100757,63.0,672,42336.0
100758,1.0,973,973.0
100759,1.0,989,989.0
100760,2.0,984,1968.0
100761,1.0,687,687.0
100762,2.0,680,1360.0
100763,29.0,905,26245.0
100764,3.0,767,2301.0
100765,34.0,934,31756.0
100766,8.0,818,6544.0
100767,454.0,905,410870.0
100768,2.0,704,1408.0
100769,8.0,684,5472.0
100770,1.0,778,778.0
100771,5.0,860,4300.0
100772,1.0,920,920.0
100773,2.0,897,1794.0
100774,3.0,997,2991.0
100775,10.0,781,7810.0
100776,1.0,772,772.0
100777,1.0,922,922.0
100778,5.0,709,3545.0
100779,1.0,630,630.0
100780,454.0,774,351396.0
100781,16.24,924,15005.76
100782,6.0,717,4302.0
100783,4.0,916,3664.0
100784,54.0,620,33480.0
100785,5.0,570,2850.0
100786,2.0,727,1454.0
100787,30.0,511,15330.0
100788,2.0,652,1304.0
100789,22.0,903,19866.0
100790,122.0,543,66246.0
100791,2.0,850,1700.0
100792,15.0,504,7560.0
100793,7.0,766,5362.0
100794,13.0,731,9503.0
100795,1.0,547,547.0
100796,1.0,912,912.0
100797,200.0,733,146600.0
100798,1.0,707,707.0
100799,5.0,794,3970.0
100800,1.0,911,911.0
100801,1.0,956,956.0
100802,1.0,924,924.0
100803,1.0,605,605.0
100804,1.0,566,566.0
100805,1.0,596,596.0
100806,1.0,594,594.0
100807,1.0,591,591.0
100808,1.0,529,529.0
100809,1.0,969,969.0
100810,1.0,882,882.0
100811,7.66,920,7047.2
100812,164.33,906,148882.98
100813,1.0,640,640.0
100814,5.0,833,4165.0
100815,5.0,598,2990.0
100816,14.0,997,13958.0
100817,122.0,596,72712.0
100818,11.0,556,6116.0
100819,11.0,565,6215.0
100820,2.0,837,1674.0
100821,2.0,959,1918.0
100822,1.0,821,821.0
100823,1.0,785,785.0
100824,6.0,623,3738.0
100825,191.34,979,187321.86
100826,4.0,856,3424.0
100827,1.0,587,587.0
100828,2.0,989,1978.0
100829,20.0,553,11060.0
100830,4.0,653,2612.0
100831,1.0,775,775.0
100832,1.0,622,622.0
100833,1.0,666,666.0
100834,2.0,774,1548.0
100835,1.0,927,927.0
100836,1.0,611,611.0
100837,223.0,822,183306.0
100838,223.0,976,217648.0
100839,11.0,598,6578.0
100840,1.0,924,924.0
100841,1.0,799,799.0
100842,1.0,946,946.0
100843,1.0,719,719.0
100844,1.0,736,736.0
100845,3.0,889,2667.0
100846,1.0,690,690.0
100847,20.0,889,17780.0
100848,200.0,749,149800.0
100849,150.0,547,82050.0
100850,1.0,619,619.0
100851,2.0,685,1370.0
100852,1.0,969,969.0
100853,18.0,885,15930.0
100854,1.0,742,742.0
100855,1.0,798,798.0
100856,6.0,811,4866.0
100857,1.0,803,803.0
100858,5.0,782,3910.0
100859,16.0,684,10944.0
100860,2.0,803,1606.0
100861,7.0,969,6783.0
100862,9.0,638,5742.0
100863,10.0,852,8520.0
100864,1.0,552,552.0
100865,273.0,632,172536.0
100866,8.0,728,5824.0
100867,2.0,753,1506.0
100868,5078.0,527,2676106.0
100869,1.0,680,680.0
100870,1.0,528,528.0
100871,1.0,772,772.0
100872,1.0,695,695.0
100873,72.0,615,44280.0
100874,5.0,734,3670.0
100875,4.0,596,2384.0
100876,1.0,542,542.0
100877,50.0,784,39200.0
100878,14.0,834,11676.0
100879,1.0,682,682.0
100880,1629.0,568,925272.0
100881,1629.0,817,1330893.0
100882,35.0,920,32200.0
100883,156.0,663,103428.0
100884,155.0,829,128495.0
100885,750.0,627,470250.0
100886,47.0,912,42864.0
100887,1.0,722,722.0
100888,1.0,956,956.0
100889,3.0,925,2775.0
100890,1.0,983,983.0
100891,1.0,864,864.0
100892,4.0,839,3356.0
100893,50.0,890,44500.0
100894,15000.0,582,8730000.0
100895,11000.0,500,5500000.0
100896,0.375,854,320.25
100897,331880.768,675,224019518.4
100898,16.382,914,14973.148
100899,25853.0,523,13521119.0
100900,562.0,995,559190.0
100901,500.0,924,462000.0
100902,0.1,679,67.9
100903,1958.0,989,1936462.0
100904,623.5740000000002,746,465186.204
100905,5000.0,562,2810000.0
100906,3.3480000000000003,841,2815.668
100907,908.0,607,551156.0
100908,1474.0,656,966944.0
100909,2967.0,505,1498335.0
100910,1.025,899,921.475
100911,0.05,546,27.3
100912,1006.0,829,833974.0
100913,87.0,890,77430.0
100914,51144.0,677,34624488.0
100915,53.344,929,49556.576
100916,9514.0,849,8077386.0
100917,7.608,960,7303.68
100918,330.0,755,249150.0
100919,328.0,838,274864.0
100920,24.0,562,13488.0
100921,1.0,580,580.0
100922,0.892,933,832.2360000000001
100923,0.024,590,14.16
100924,7000.0,614,4298000.0
100925,5000.0,702,3510000.0
100926,5000.0,870,4350000.0
100927,30.0,686,20580.0
100928,372.0,956,355632.0
100929,745.2,519,386758.8
100930,210.812,817,172233.40399999998
100931,372.0,667,248124.0
100932,2257.438,912,2058783.456
100933,0.3,977,293.1
100934,4.68,560,2620.8
100935,6.0,700,4200.0
100936,49941.0,669,33410529.0
100937,7206.69,941,6781495.29
100938,11324.0,537,6080988.0
100939,800.0,833,666400.0
100940,603.6,891,537807.6
100941,15.46,690,10667.4
100942,200.0,647,129400.0
100943,16000.0,912,14592000.0
100944,203700.0,773,157460100.0
100945,11010.0,677,7453770.0
100946,1666.5,833,1388194.5
100947,40013.4,881,35251805.4
100948,32.0,788,25216.0
100949,14000.0,851,11914000.0
100950,0.75,672,504.0
100951,19440.0,534,10380960.0
100952,400.0,634,253600.0
100953,362.88,764,277240.32
100954,100.0,657,65700.0
100955,170.0,899,152830.0
100956,380.0,879,334020.0
100957,11000.0,533,5863000.0
100958,20010.0,765,15307650.0
100959,11000.0,566,6226000.0
100960,4680.0,578,2705040.0
100961,27.1,554,15013.4
100962,1433.67,581,832962.27
100963,1.0,780,780.0
100964,1500.0,914,1371000.0
100965,100.0,726,72600.0
100966,80.0,612,48960.0
100967,446.0,639,284994.0
100968,1621.0,962,1559402.0
100969,1065.0,625,665625.0
100970,947.545,944,894482.48
100971,10.0,570,5700.0
100972,225.0,688,154800.0
100973,94.0,677,63638.0
100974,3.0,839,2517.0
100975,47.0301,730,34331.973
100976,3.4130000000000003,570,1945.41
100977,1000.0,606,606000.0
100978,400.0,990,396000.0
100979,1.0,549,549.0
100980,1.0,807,807.0
100981,3.0,620,1860.0
100982,27.0,772,20844.0
100983,15.0,963,14445.0
100984,200.0,860,172000.0
100985,1.0,803,803.0
100986,15.0,927,13905.0
100987,1.0,545,545.0
100988,4.0,582,2328.0
100989,2.0,821,1642.0
100990,8.0,617,4936.0
100991,2.0,848,1696.0
100992,1.0,745,745.0
100993,30.0,567,17010.0
100994,93.0,780,72540.0
100995,2.0,702,1404.0
100996,2.0,708,1416.0
100997,7.0,862,6034.0
100998,1.0,540,540.0
100999,100.0,500,50000.0
101000,2.0,918,1836.0
101001,934.0,963,899442.0
101002,4.0,880,3520.0
101003,2.0,710,1420.0
101004,21.0,833,17493.0
101005,7.0,723,5061.0
101006,6.0,823,4938.0
101007,4.0,878,3512.0
