TransactionKey,DateKey,SpecieKey,MarketingKey,TermKey,ImporterKey,ExporterKey,Quantity,UnitPrice,TotalPrice
100086,20110327,3035,286,915,1250,1175,1970.0,614,1209580.0
100087,20151029,3035,285,915,1250,1175,0.85,619,526.15
100088,20090920,3035,286,915,1250,1175,32.0,769,24608.0
100089,20150504,3035,292,915,1250,1175,1.0,809,809.0
100090,20150425,3035,337,915,1250,1175,4.0,838,3352.0
100091,20141013,3035,285,912,1250,1193,1.0,749,749.0
100092,20160629,3037,285,915,1250,1229,1.0,984,984.0
100093,20101002,3035,286,915,1250,1252,1.0,976,976.0
100094,20180216,3039,327,901,1120,1112,333.0,526,175158.0
100095,20160417,3039,327,914,1120,1112,45.0,899,40455.0
100096,20130403,3039,324,906,1250,1010,5.0,578,2890.0
100097,20140522,3040,292,910,1250,1043,1.0,647,647.0
100098,20141020,3041,324,903,1090,1049,63.0,881,55503.0
100099,20110329,3041,326,901,1120,1112,90.0,688,61920.0
100100,20090822,3041,326,914,1120,1112,100.0,520,52000.0
100101,20151109,3042,324,903,1250,1016,2.0,658,1316.0
100102,20120617,3041,324,903,1250,1120,0.2,559,111.8
100103,20151212,3041,324,903,1250,1120,1.0,592,592.0
100104,20140913,3043,327,901,1120,1112,25.0,910,22750.0
100105,20160222,3043,327,914,1120,1112,220.0,982,216040.0
100106,20130809,3043,324,903,1250,1120,24.2,761,18416.2
100107,20130416,3043,324,903,1250,1120,91.0,693,63063.0
100108,20110712,3044,325,914,1223,1109,10.0,888,8880.0
100109,20160220,3044,327,914,1120,1112,15.0,547,8205.0
100110,20171111,3044,324,903,1165,1175,5.0,892,4460.0
100111,20180105,3044,285,915,1250,1120,850.0,564,479400.0
100112,20150414,3044,324,903,1250,1120,0.4,882,352.8
100113,20141229,3044,324,903,1250,1120,1.0,773,773.0
100114,20100311,3044,286,916,1250,1152,1.0,953,953.0
100115,20130307,3044,324,903,1250,1168,12.0,831,9972.0
100116,20150420,3045,324,903,1043,1250,4.0,518,2072.0
100117,20151112,3045,292,917,1065,1094,1.0,934,934.0
100118,20110705,3045,325,910,1223,1094,10.0,734,7340.0
100119,20110509,3045,325,903,1223,1094,10.0,573,5730.0
100120,20170424,3045,324,914,1223,1109,100.0,574,57400.0
100121,20120121,3045,327,914,1120,1112,15.0,758,11370.0
100122,20110328,3045,325,903,1165,1175,2.0,838,1676.0
100123,20170208,3045,324,903,1250,1249,8.0,519,4152.0
100124,20090823,3045,325,903,1250,1120,0.1,607,60.7
100125,20090111,3045,325,903,1250,1120,1.0,857,857.0
100126,20110209,3046,325,903,1043,1250,11.0,626,6886.0
100127,20120725,3046,292,916,1090,1202,1.0,789,789.0
100128,20090507,3046,293,910,1065,1094,5.0,823,4115.0
100129,20141006,3046,292,917,1065,1094,1.0,539,539.0
100130,20130302,3046,324,903,1065,1094,101.0,879,88779.0
100131,20140402,3046,324,914,1223,1109,10.0,612,6120.0
100132,20141202,3046,324,903,1081,1141,98.0,662,64876.0
100133,20120103,3047,230,903,1081,1241,1.0,808,808.0
100134,20110918,3047,302,910,1249,1250,1.0,642,642.0
100135,20150324,3046,327,914,1120,1112,80.0,849,67920.0
100136,20160913,3046,324,903,1165,1175,168.0,707,118776.0
100137,20090212,3046,325,903,1229,1094,1.0,982,982.0
100138,20100213,3046,325,906,1250,1010,144.0,860,123840.0
100139,20171226,3046,324,903,1250,1010,40.0,911,36440.0
100140,20090218,3046,325,903,1250,1016,158.0,659,104122.0
100141,20150604,3046,324,903,1250,1043,16.0,548,8768.0
100142,20150426,3048,324,903,1250,1249,26.0,700,18200.0
100143,20150422,3046,324,903,1250,1168,47.0,891,41877.0
100144,20130601,3046,324,903,1250,1176,98.0,576,56448.0
100145,20160125,3049,225,914,1252,1241,1.0,872,872.0
100146,20100928,3046,231,918,1219,1162,1.0,812,812.0
100147,20121208,3050,353,904,1111,1081,4.0,678,2712.0
100148,20101006,3050,332,904,1113,1090,22.0,838,18436.0
100149,20120620,3051,296,904,1252,1118,2.0,741,1482.0
100150,20171203,3052,353,904,1111,1081,4.0,617,2468.0
100151,20100302,3053,239,919,1012,1250,2.0,736,1472.0
100152,20151109,3053,239,919,1043,1250,1.0,788,788.0
100153,20161009,3054,282,919,1081,1081,2.0,549,1098.0
100154,20170803,3053,239,919,1081,1250,1.0,863,863.0
100155,20140323,3053,314,903,1249,1190,6.0,533,3198.0
100156,20120715,3053,239,919,1108,1250,3.0,563,1689.0
100157,20100408,3053,239,919,1118,1250,2.0,728,1456.0
100158,20151207,3053,239,919,1152,1250,2.0,801,1602.0
100159,20120811,3053,282,904,1176,1248,2.0,532,1064.0
100160,20171007,3053,331,904,1177,1248,10.0,905,9050.0
100161,20171002,3055,351,904,1258,1090,5.0,564,2820.0
100162,20160717,3056,238,901,1248,1215,2.0,884,1768.0
100163,20090324,3056,246,919,1017,1233,1.0,912,912.0
100164,20100122,3057,351,904,1023,1193,4.0,582,2328.0
100165,20160610,3056,247,919,1043,1177,1.0,998,998.0
100166,20140918,3056,247,919,1090,1177,2.0,903,1806.0
100167,20160919,3056,247,919,1090,1233,1.0,759,759.0
100168,20100909,3056,246,919,1223,1177,1.0,704,704.0
100169,20150917,3056,351,904,1080,1193,2.0,791,1582.0
100170,20121106,3056,351,904,1111,1090,5.0,642,3210.0
100171,20130408,3056,247,919,1152,1177,1.0,675,675.0
100172,20171130,3056,239,919,1152,1250,1.0,678,678.0
100173,20110220,3058,246,919,1175,1065,1.0,944,944.0
100174,20151115,3059,247,919,1175,1065,1.0,574,574.0
100175,20110524,3060,246,919,1185,1090,1.0,696,696.0
100176,20170405,3060,292,919,1185,1090,1.0,670,670.0
100177,20180907,3056,331,904,1193,1023,1.0,739,739.0
100178,20091204,3056,351,904,1213,1080,8.0,804,6432.0
100179,20180729,3058,247,919,1250,1043,1.0,581,581.0
100180,20120601,3056,247,919,1250,1177,4.0,623,2492.0
100181,20170324,3056,247,919,1250,1233,3.0,527,1581.0
100182,20130331,3056,351,904,1254,1193,1.0,577,577.0
100183,20110519,3061,286,920,1250,1130,2.0,703,1406.0
100184,20160217,3062,285,911,1250,1130,1.0,655,655.0
100185,20160326,3062,285,920,1250,1130,4.0,877,3508.0
100186,20171210,3062,285,903,1250,1130,26.0,769,19994.0
100187,20120703,3063,285,920,1250,1130,2.0,595,1190.0
100188,20161016,3063,285,921,1250,1130,1.0,950,950.0
100189,20150504,3064,273,904,1241,1223,1.0,660,660.0
100190,20100120,3065,273,904,1241,1223,57.0,933,53181.0
100191,20160607,3066,301,901,1050,1249,1.0,567,567.0
100192,20180326,3066,324,903,1188,1250,4.0,561,2244.0
100193,20170915,3067,228,901,1126,1050,1.0,973,973.0
100194,20110927,3068,239,919,1118,1250,1.0,779,779.0
100195,20171126,3068,239,919,1152,1250,1.0,957,957.0
100196,20110407,3069,204,904,1248,1250,34.0,971,33014.0
100197,20180615,3069,247,919,1012,1219,1.0,685,685.0
100198,20130415,3069,239,919,1017,1219,2.0,962,1924.0
100199,20130925,3069,239,919,1024,1219,2.0,626,1252.0
100200,20111012,3069,239,919,1043,1250,2.0,941,1882.0
100201,20160309,3069,239,919,1063,1219,2.0,696,1392.0
100202,20170109,3069,239,919,1090,1219,3.0,833,2499.0
100203,20171025,3070,247,919,1065,1252,1.0,943,943.0
100204,20121204,3069,247,906,1065,1219,1.0,934,934.0
100205,20100908,3069,239,919,1065,1219,1.0,887,887.0
100206,20101202,3069,246,919,1065,1219,2.0,867,1734.0
100207,20170409,3069,239,919,1223,1219,5.0,741,3705.0
100208,20110616,3069,239,919,1080,1219,2.0,969,1938.0
100209,20150310,3069,292,919,1081,1081,2.0,835,1670.0
100210,20140304,3071,282,919,1081,1081,2.0,833,1666.0
100211,20101108,3069,239,919,1081,1250,1.0,689,689.0
100212,20090811,3069,284,919,1081,1250,1.0,783,783.0
100213,20130822,3069,284,919,1081,1219,1.0,578,578.0
100214,20110609,3069,239,919,1108,1219,3.0,971,2913.0
100215,20121030,3069,239,919,1118,1250,1.0,628,628.0
100216,20160521,3069,239,919,1118,1219,1.0,727,727.0
100217,20160621,3069,239,919,1137,1219,1.0,618,618.0
100218,20130831,3069,238,919,1152,1250,1.0,885,885.0
100219,20130714,3069,239,919,1152,1250,2.0,968,1936.0
100220,20170419,3072,282,904,1176,1248,2.0,634,1268.0
100221,20120723,3069,247,919,1177,1219,2.0,851,1702.0
100222,20100723,3069,239,919,1188,1219,1.0,592,592.0
100223,20130309,3069,239,919,1210,1219,3.0,951,2853.0
100224,20090212,3069,239,919,1229,1219,3.0,519,1557.0
100225,20170907,3069,239,901,1215,1219,1.0,548,548.0
100226,20100710,3069,239,919,1215,1219,5.0,991,4955.0
100227,20110923,3069,273,904,1048,1248,50.0,661,33050.0
100228,20110205,3073,338,922,1250,1024,1.0,930,930.0
100229,20110416,3071,240,915,1250,1043,454.0,814,369556.0
100230,20170226,3072,351,904,1258,1248,3.0,910,2730.0
100231,20180626,3069,351,904,1258,1248,7.0,851,5957.0
100232,20171031,3069,353,904,1258,1248,3.0,966,2898.0
100233,20160718,3069,351,904,1258,1090,3.0,643,1929.0
100234,20140802,3069,351,904,1258,1187,2.0,644,1288.0
100235,20181026,3074,351,904,1230,1081,1.0,823,823.0
100236,20180627,3074,351,904,1230,1249,1.0,670,670.0
100237,20090316,3075,302,901,1050,1249,1.0,699,699.0
100238,20170710,3074,351,904,1063,1230,2.0,679,1358.0
100239,20100223,3074,315,903,1249,1190,8.0,961,7688.0
100240,20170415,3074,239,919,1118,1250,1.0,756,756.0
100241,20090725,3074,282,904,1128,1248,6.0,938,5628.0
100242,20120925,3074,331,904,1128,1248,4.0,673,2692.0
100243,20121018,3074,335,904,1128,1248,3.0,727,2181.0
100244,20170719,3074,239,919,1137,1219,1.0,892,892.0
100245,20150217,3074,239,919,1152,1250,1.0,687,687.0
100246,20170830,3074,284,919,1152,1250,1.0,547,547.0
100247,20130418,3074,282,904,1176,1248,106.0,719,76214.0
100248,20100911,3074,284,904,1176,1248,4.0,611,2444.0
100249,20161024,3074,331,904,1176,1248,2.0,876,1752.0
100250,20140824,3074,331,904,1177,1248,6.0,527,3162.0
100251,20170804,3074,282,904,1190,1248,90.0,796,71640.0
100252,20150123,3074,284,904,1190,1248,10.0,832,8320.0
100253,20101223,3074,332,904,1190,1248,45.0,809,36405.0
100254,20161130,3074,335,904,1190,1248,12.0,640,7680.0
100255,20170706,3074,282,904,1206,1248,138.0,671,92598.0
100256,20170812,3074,284,904,1206,1248,20.0,972,19440.0
100257,20171126,3074,331,904,1206,1248,26.0,745,19370.0
100258,20091209,3076,246,919,1065,1175,1.0,924,924.0
100259,20110812,3077,251,923,1230,1081,27.0,850,22950.0
100260,20120611,3077,252,923,1081,1230,27.0,808,21816.0
100261,20180409,3078,351,904,1017,1034,1.0,904,904.0
100262,20170310,3079,228,901,1126,1050,1.0,635,635.0
100263,20091104,3080,339,901,1232,1081,1.0,584,584.0
100264,20100616,3081,274,904,1234,1250,2100.0,713,1497300.0
100265,20150727,3082,331,904,1020,1190,4.0,638,2552.0
100266,20101126,3082,284,904,1043,1068,1.0,915,915.0
100267,20170930,3082,282,904,1176,1219,1.0,999,999.0
100268,20120930,3082,331,904,1176,1219,11.0,629,6919.0
100269,20170202,3082,331,904,1190,1219,20.0,909,18180.0
100270,20100816,3082,282,904,1235,1020,1.0,537,537.0
100271,20131207,3083,284,904,1250,1090,1.0,919,919.0
100272,20110223,3084,202,904,1230,1081,3.0,873,2619.0
100273,20170519,3084,331,904,1230,1081,3.0,941,2823.0
100274,20150103,3084,331,904,1090,1230,6.0,646,3876.0
100275,20150121,3085,282,904,1248,1185,2.0,809,1618.0
100276,20140108,3086,331,904,1034,1188,2.0,579,1158.0
100277,20141006,3085,331,904,1034,1188,2.0,996,1992.0
100278,20151006,3085,282,904,1019,1250,1.0,909,909.0
100279,20110203,3085,298,904,1019,1250,1.0,696,696.0
100280,20170429,3087,282,904,1043,1250,1.0,570,570.0
100281,20090517,3087,288,904,1043,1250,1.0,529,529.0
100282,20090701,3085,284,904,1043,1250,2.0,947,1894.0
100283,20091213,3085,284,904,1058,1250,1.0,990,990.0
100284,20130916,3085,314,903,1090,1117,26.0,833,21658.0
100285,20150913,3085,331,904,1090,1185,2.0,516,1032.0
100286,20161023,3085,333,904,1120,1213,22.0,525,11550.0
100287,20180519,3088,306,904,1129,1123,1.0,945,945.0
100288,20091001,3085,332,904,1128,1223,2.0,826,1652.0
100289,20090717,3085,296,904,1123,1193,1.0,978,978.0
100290,20140121,3085,310,903,1165,1213,16.0,618,9888.0
100291,20151220,3085,282,904,1176,1219,2.0,690,1380.0
100292,20151207,3089,331,904,1226,1165,1.0,921,921.0
100293,20141002,3085,284,904,1226,1165,1.0,658,658.0
100294,20120904,3085,333,904,1232,1213,30.0,968,29040.0
100295,20180825,3085,296,904,1250,1019,1.0,741,741.0
100296,20180421,3090,292,904,1250,1043,1.0,844,844.0
100297,20180809,3085,287,904,1250,1043,1.0,884,884.0
100298,20091222,3085,311,903,1250,1213,2.0,568,1136.0
100299,20180913,3091,331,904,1020,1024,1.0,685,685.0
100300,20090115,3092,332,904,1020,1024,1.0,944,944.0
100301,20151118,3093,282,904,1043,1250,1.0,916,916.0
100302,20140413,3092,331,904,1230,1223,1.0,841,841.0
100303,20180730,3092,331,904,1230,1081,1.0,725,725.0
100304,20090925,3092,334,904,1120,1213,2.0,663,1326.0
100305,20180622,3092,351,904,1127,1185,1.0,806,806.0
100306,20140413,3092,284,904,1137,1043,1.0,949,949.0
100307,20150810,3092,258,903,1165,1213,6.0,914,5484.0
100308,20090216,3092,311,903,1165,1213,3.0,620,1860.0
100309,20100323,3091,332,904,1175,1065,1.0,555,555.0
100310,20110829,3092,332,904,1175,1065,3.0,704,2112.0
100311,20170109,3092,331,901,1168,1219,1.0,890,890.0
100312,20160118,3094,331,904,1181,1165,4.0,820,3280.0
100313,20131110,3095,331,904,1232,1024,1.0,883,883.0
100314,20150507,3091,331,904,1232,1024,1.0,743,743.0
100315,20150918,3096,331,904,1232,1024,2.0,929,1858.0
100316,20161220,3097,331,904,1232,1024,1.0,769,769.0
100317,20140112,3098,331,904,1232,1024,1.0,789,789.0
100318,20161230,3092,335,904,1232,1024,2.0,980,1960.0
100319,20150530,3092,202,904,1232,1213,30.0,948,28440.0
100320,20120508,3099,284,904,1250,1043,1.0,624,624.0
100321,20130411,3092,282,904,1250,1043,1.0,587,587.0
100322,20120602,3092,258,903,1250,1213,24.0,952,22848.0
100323,20130507,3099,284,904,1250,1252,1.0,911,911.0
100324,20150129,3092,284,904,1252,1250,1.0,555,555.0
100325,20100828,3100,332,904,1037,1254,4.0,568,2272.0
100326,20180105,3100,282,904,1063,1219,4.0,729,2916.0
100327,20141027,3100,258,902,1090,1185,28.0,677,18956.0
100328,20151018,3100,202,904,1090,1185,20.0,787,15740.0
100329,20090320,3100,332,904,1090,1185,6.0,504,3024.0
100330,20170324,3100,258,903,1090,1185,12.0,754,9048.0
100331,20160602,3100,258,903,1090,1185,56.0,935,52360.0
100332,20100528,3100,311,903,1090,1185,100.0,693,69300.0
100333,20160321,3100,351,903,1081,1213,5.0,890,4450.0
100334,20140602,3100,351,904,1093,1185,2.0,667,1334.0
100335,20130617,3101,331,904,1113,1128,4.0,599,2396.0
100336,20150226,3100,258,903,1165,1213,9.0,755,6795.0
100337,20091120,3100,311,903,1165,1213,11.0,991,10901.0
100338,20160511,3100,202,904,1185,1235,20.0,997,19940.0
100339,20120921,3101,282,904,1206,1128,5.0,667,3335.0
100340,20090323,3101,332,904,1206,1128,3.0,765,2295.0
100341,20090507,3100,259,903,1250,1213,36.0,980,35280.0
100342,20160422,3102,359,904,1219,1187,1.0,521,521.0
100343,20110211,3103,334,907,1024,1250,20.0,643,12860.0
100344,20181110,3103,333,907,1043,1250,40.0,543,21720.0
100345,20150429,3103,333,907,1230,1090,100.0,993,99300.0
100346,20170810,3103,333,907,1230,1250,10.0,914,9140.0
100347,20101213,3103,334,907,1110,1250,200.0,984,196800.0
100348,20150813,3103,333,907,1120,1250,20.0,679,13580.0
100349,20110930,3103,334,907,1168,1250,10.0,962,9620.0
100350,20170813,3103,333,907,1250,1146,150.0,748,112200.0
100351,20140919,3103,337,904,1250,1152,90.0,856,77040.0
100352,20120903,3104,333,907,1016,1250,200.0,568,113600.0
100353,20140813,3104,333,907,1024,1250,20.0,602,12040.0
100354,20121002,3104,333,904,1230,1090,18.0,898,16164.0
100355,20110813,3104,334,907,1230,1090,100.0,520,52000.0
100356,20160101,3104,333,907,1230,1250,10.0,845,8450.0
100357,20120322,3104,333,907,1050,1090,200.0,807,161400.0
100358,20090815,3104,334,907,1107,1250,100.0,636,63600.0
100359,20110716,3104,334,907,1120,1250,10.0,698,6980.0
100360,20130224,3104,333,907,1168,1250,10.0,575,5750.0
100361,20130416,3105,333,907,1017,1250,10.0,502,5020.0
100362,20180529,3105,333,907,1024,1250,60.0,833,49980.0
100363,20090301,3105,334,907,1043,1250,2080.0,977,2032160.0
100364,20130828,3105,333,907,1230,1090,100.0,509,50900.0
100365,20181130,3105,333,907,1230,1250,60.0,836,50160.0
100366,20120728,3105,333,907,1050,1090,100.0,980,98000.0
100367,20110521,3105,334,904,1050,1118,64.0,932,59648.0
100368,20120907,3105,337,904,1107,1250,9.0,768,6912.0
100369,20100616,3105,334,907,1107,1250,200.0,634,126800.0
100370,20181027,3105,333,907,1110,1250,100.0,889,88900.0
100371,20090613,3105,334,907,1120,1250,20.0,546,10920.0
100372,20180609,3105,333,904,1127,1250,150.0,928,139200.0
100373,20170923,3105,333,907,1187,1250,130.0,503,65390.0
100374,20120109,3105,333,904,1213,1118,2.0,736,1472.0
100375,20140710,3106,337,904,1250,1107,9.0,910,8190.0
100376,20140118,3105,333,907,1250,1146,150.0,666,99900.0
100377,20180806,3105,337,904,1250,1252,11.0,964,10604.0
100378,20140110,3107,333,907,1016,1250,40.0,842,33680.0
100379,20110508,3107,334,907,1024,1250,90.0,558,50220.0
100380,20091108,3107,334,907,1043,1250,40.0,544,21760.0
100381,20110515,3107,334,907,1230,1250,20.0,885,17700.0
100382,20111029,3107,334,907,1050,1250,140.0,603,84420.0
100383,20130317,3107,283,904,1090,1235,4.0,970,3880.0
100384,20160927,3107,333,907,1110,1250,30.0,950,28500.0
100385,20140504,3107,333,907,1118,1250,60.0,751,45060.0
100386,20150425,3107,333,907,1120,1250,30.0,534,16020.0
100387,20100707,3107,334,907,1168,1250,10.0,729,7290.0
100388,20151008,3107,333,907,1187,1250,30.0,963,28890.0
100389,20131230,3107,333,904,1250,1063,4.0,924,3696.0
100390,20110907,3107,338,904,1250,1152,279.0,864,241056.0
100391,20140317,3108,333,907,1024,1250,310.0,836,259160.0
100392,20130518,3108,333,907,1043,1250,5060.0,588,2975280.0
100393,20130814,3108,333,904,1230,1090,12.0,996,11952.0
100394,20101222,3108,334,907,1230,1090,120.0,871,104520.0
100395,20160701,3108,333,907,1230,1250,50.0,939,46950.0
100396,20091101,3108,334,907,1050,1250,5210.0,898,4678580.0
100397,20110412,3108,283,904,1090,1235,1.0,835,835.0
100398,20090121,3108,312,924,1249,1250,1.0,777,777.0
100399,20181215,3108,333,907,1110,1250,20.0,792,15840.0
100400,20170310,3108,333,907,1120,1250,80.0,843,67440.0
100401,20111016,3108,334,904,1127,1250,109.0,915,99735.0
100402,20130527,3108,333,904,1250,1063,1.0,601,601.0
100403,20160709,3108,337,904,1250,1108,5.0,860,4300.0
100404,20090812,3108,334,907,1250,1146,600.0,662,397200.0
100405,20091206,3108,338,904,1250,1152,21.0,908,19068.0
100406,20170609,3109,333,907,1024,1250,15.0,952,14280.0
100407,20121116,3109,333,907,1230,1250,10.0,943,9430.0
100408,20100106,3109,334,907,1120,1250,5.0,729,3645.0
100409,20120607,3109,333,907,1192,1250,10.0,765,7650.0
100410,20171127,3109,337,904,1250,1152,5.0,725,3625.0
100411,20090309,3110,334,907,1024,1250,60.0,689,41340.0
100412,20161203,3110,333,907,1043,1250,10030.0,711,7131330.0
100413,20100204,3110,334,907,1230,1250,20.0,755,15100.0
100414,20120915,3110,333,904,1107,1063,2.0,751,1502.0
100415,20121113,3110,333,907,1107,1250,190.0,928,176320.0
100416,20100518,3110,334,907,1120,1250,10.0,597,5970.0
100417,20140203,3110,333,907,1192,1250,20.0,782,15640.0
100418,20140302,3111,333,904,1230,1090,20.0,800,16000.0
100419,20140707,3111,333,907,1050,1090,200.0,925,185000.0
100420,20130509,3111,283,904,1090,1235,4.0,668,2672.0
100421,20140306,3111,283,907,1090,1235,270.0,721,194670.0
100422,20090604,3111,312,924,1249,1250,1.0,573,573.0
100423,20180813,3111,333,904,1213,1118,19.0,879,16701.0
100424,20121130,3111,333,907,1250,1146,450.0,557,250650.0
100425,20090205,3111,334,904,1250,1235,46.0,674,31004.0
100426,20170609,3111,337,904,1250,1235,1.0,508,508.0
100427,20131101,3112,333,907,1250,1146,150.0,525,78750.0
100428,20121004,3112,333,904,1250,1235,1.0,959,959.0
100429,20140823,3113,337,925,1250,1041,1.0,572,572.0
100430,20161227,3114,333,907,1017,1250,20.0,955,19100.0
100431,20101025,3115,334,904,1230,1090,1.0,521,521.0
100432,20110307,3115,330,904,1058,1090,5.0,972,4860.0
100433,20130429,3116,329,904,1058,1090,2.0,788,1576.0
100434,20160111,3117,333,904,1230,1090,2.0,529,1058.0
100435,20120820,3117,329,904,1058,1090,2.0,558,1116.0
100436,20141001,3117,333,904,1090,1250,92.0,819,75348.0
100437,20170921,3117,333,904,1235,1250,71.0,849,60279.0
100438,20160105,3118,329,904,1058,1090,2.0,535,1070.0
100439,20160726,3119,333,907,1118,1250,20.0,687,13740.0
100440,20100131,3120,334,907,1017,1250,20.0,998,19960.0
100441,20110811,3120,334,907,1118,1250,20.0,557,11140.0
100442,20170408,3121,333,904,1230,1090,21.0,813,17073.0
100443,20180403,3121,333,907,1050,1146,2200.0,760,1672000.0
100444,20110520,3122,334,904,1230,1090,1.0,972,972.0
100445,20160326,3123,333,907,1017,1250,10.0,958,9580.0
100446,20151224,3123,333,907,1016,1250,80.0,514,41120.0
100447,20141107,3123,333,907,1024,1250,50.0,918,45900.0
100448,20120827,3123,333,907,1043,1250,20.0,571,11420.0
100449,20160702,3123,333,907,1050,1250,30.0,891,26730.0
100450,20150625,3123,333,907,1118,1250,60.0,654,39240.0
