SpecieID,AppClass,Taxon,Class,Order_Info,Family,Genus,Origin
3032,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DK
3033,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,
3034,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3035,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3036,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES
3037,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO
3038,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX
3039,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3040,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US
3041,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3042,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FK
3043,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3044,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3045,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
3046,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,
3047,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,XX
3048,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US
3049,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR
3050,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,
3051,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE
3052,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,
3053,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,
3054,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,US
3055,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,
3056,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,
3057,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BY
3058,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,PK
3059,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,XX
3060,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,TJ
3061,I,Capricornis milneedwardsii,Mammalia,Artiodactyla,Bovidae,Capricornis,
3062,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,XX
3063,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,
3064,I,Gazella spp.,Mammalia,Artiodactyla,Bovidae,Gazella,
3065,I,Gazella cuvieri,Mammalia,Artiodactyla,Bovidae,Gazella,
3066,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,AO
3067,I,Naemorhedus goral,Mammalia,Artiodactyla,Bovidae,Naemorhedus,
3068,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,
3069,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,
3070,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA
3071,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US
3072,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BH
3073,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,XX
3074,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,
3075,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,XX
3076,I,Ovis ammon,Mammalia,Artiodactyla,Bovidae,Ovis,TJ
3077,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,XX
3078,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,AT
3079,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,
3080,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,XX
3081,I,Nectophrynoides asperginis,Amphibia,Anura,Bufonidae,Nectophrynoides,
3082,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,
3083,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,US
3084,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,
3085,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,
3086,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,FR
3087,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CA
3088,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,XX
3089,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BE
3090,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,AR
3091,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,DE
3092,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,
3093,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CA
3094,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CZ
3095,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,AT
3096,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,DK
3097,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,HU
3098,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,IT
3099,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,US
3100,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,
3101,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,PH
3102,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,XX
3103,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,
3104,I,Ariocarpus bravoanus,,Caryophyllales,Cactaceae,Ariocarpus,
3105,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,
3106,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,XX
3107,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,
3108,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,
3109,I,Ariocarpus scaphirostris,,Caryophyllales,Cactaceae,Ariocarpus,
3110,I,Ariocarpus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,
3111,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,
3112,I,Aztekium ritteri,,Caryophyllales,Cactaceae,Aztekium,
3113,I,Cactaceae spp.,,Caryophyllales,Cactaceae,,
3114,I,Coryphantha werdermannii,,Caryophyllales,Cactaceae,Coryphantha,
3115,I,Discocactus heptacanthus,,Caryophyllales,Cactaceae,Discocactus,
3116,I,Discocactus horstii,,Caryophyllales,Cactaceae,Discocactus,
3117,I,Discocactus placentiformis,,Caryophyllales,Cactaceae,Discocactus,
3118,I,Discocactus zehntneri,,Caryophyllales,Cactaceae,Discocactus,
3119,I,Echinocereus ferreirianus lindsayi,,Caryophyllales,Cactaceae,Echinocereus,
3120,I,Echinocereus schmollii,,Caryophyllales,Cactaceae,Echinocereus,
3121,I,Escobaria minima,,Caryophyllales,Cactaceae,Escobaria,
3122,I,Escobaria sneedii,,Caryophyllales,Cactaceae,Escobaria,
3123,I,Mammillaria pectinifera,,Caryophyllales,Cactaceae,Mammillaria,
3124,I,Melocactus conoideus,,Caryophyllales,Cactaceae,Melocactus,
3125,I,Obregonia denegrii,,Caryophyllales,Cactaceae,Obregonia,
3126,I,Pediocactus bradyi,,Caryophyllales,Cactaceae,Pediocactus,
3127,I,Pelecyphora aselliformis,,Caryophyllales,Cactaceae,Pelecyphora,
3128,I,Pelecyphora strobiliformis,,Caryophyllales,Cactaceae,Pelecyphora,
3129,I,Sclerocactus brevihamatus tobuschii,,Caryophyllales,Cactaceae,Sclerocactus,
3130,I,Sclerocactus glaucus,,Caryophyllales,Cactaceae,Sclerocactus,
3131,I,Sclerocactus papyracanthus,,Caryophyllales,Cactaceae,Sclerocactus,
3132,I,Sclerocactus pubispinus,,Caryophyllales,Cactaceae,Sclerocactus,
3133,I,Strombocactus disciformis,,Caryophyllales,Cactaceae,Strombocactus,
3134,I,Turbinicarpus spp.,,Caryophyllales,Cactaceae,Turbinicarpus,
3135,I,Turbinicarpus alonsoi,,Caryophyllales,Cactaceae,Turbinicarpus,
3136,I,Turbinicarpus beguinii,,Caryophyllales,Cactaceae,Turbinicarpus,
3137,I,Turbinicarpus hoferi,,Caryophyllales,Cactaceae,Turbinicarpus,
3138,I,Turbinicarpus horripilus,,Caryophyllales,Cactaceae,Turbinicarpus,
3139,I,Turbinicarpus laui,,Caryophyllales,Cactaceae,Turbinicarpus,
3140,I,Turbinicarpus lophophoroides,,Caryophyllales,Cactaceae,Turbinicarpus,
3141,I,Turbinicarpus pseudomacrochele,,Caryophyllales,Cactaceae,Turbinicarpus,
3142,I,Turbinicarpus pseudopectinatus,,Caryophyllales,Cactaceae,Turbinicarpus,
3143,I,Turbinicarpus roseiflorus,,Caryophyllales,Cactaceae,Turbinicarpus,
3144,I,Turbinicarpus saueri,,Caryophyllales,Cactaceae,Turbinicarpus,
3145,I,Turbinicarpus schmiedickeanus,,Caryophyllales,Cactaceae,Turbinicarpus,
3146,I,Turbinicarpus subterraneus,,Caryophyllales,Cactaceae,Turbinicarpus,
3147,I,Turbinicarpus swobodae,,Caryophyllales,Cactaceae,Turbinicarpus,
3148,I,Turbinicarpus valdezianus,,Caryophyllales,Cactaceae,Turbinicarpus,
3149,I,Turbinicarpus viereckii,,Caryophyllales,Cactaceae,Turbinicarpus,
3150,I,Uebelmannia buiningii,,Caryophyllales,Cactaceae,Uebelmannia,
3151,I,Uebelmannia pectinifera,,Caryophyllales,Cactaceae,Uebelmannia,
3152,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,BY
3153,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,PE
3154,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,
3155,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,BO
3156,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,CL
3157,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,
3158,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,XX
3159,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,
3160,I,Vultur gryphus,Aves,Falconiformes,Cathartidae,Vultur,
3161,I,Vultur gryphus,Aves,Falconiformes,Cathartidae,Vultur,XX
3162,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,
3163,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,DE
3164,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,
3165,I,Leontopithecus chrysopygus,Mammalia,Primates,Cebidae,Leontopithecus,
3166,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,
3167,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,XX
3168,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,
3169,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,NL
3170,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,DE
3171,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,XX
3172,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,PL
3173,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,
3174,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,CZ
3175,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,
3176,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,DE
3177,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,XX
3178,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,
3179,I,Piliocolobus kirkii,Mammalia,Primates,Cercopithecidae,Piliocolobus,
3180,I,Pygathrix cinerea,Mammalia,Primates,Cercopithecidae,Pygathrix,
3181,I,Pygathrix nemaeus,Mammalia,Primates,Cercopithecidae,Pygathrix,
3182,I,Axis porcinus,Mammalia,Artiodactyla,Cervidae,Axis,
3183,I,Dama dama,Mammalia,Artiodactyla,Cervidae,Dama,
3184,I,Dama dama mesopotamica,Mammalia,Artiodactyla,Cervidae,Dama,
3185,I,Hippocamelus spp.,Mammalia,Artiodactyla,Cervidae,Hippocamelus,
3186,I,Muntiacus crinifrons,Mammalia,Artiodactyla,Cervidae,Muntiacus,
3187,I,Pudu puda,Mammalia,Artiodactyla,Cervidae,Pudu,
3188,I,Rucervus duvaucelii,Mammalia,Artiodactyla,Cervidae,Rucervus,
3189,I,Rucervus eldii,Mammalia,Artiodactyla,Cervidae,Rucervus,
3190,I,Cheirogaleus spp.,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,
3191,I,Cheirogaleus major,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,XX
3192,I,Microcebus spp.,Mammalia,Primates,Cheirogaleidae,Microcebus,
3193,I,Microcebus berthae,Mammalia,Primates,Cheirogaleidae,Microcebus,
3194,I,Microcebus danfossi,Mammalia,Primates,Cheirogaleidae,Microcebus,
3195,I,Microcebus griseorufus,Mammalia,Primates,Cheirogaleidae,Microcebus,
3196,I,Microcebus lehilahytsara,Mammalia,Primates,Cheirogaleidae,Microcebus,
3197,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,
3198,I,Microcebus ravelobensis,Mammalia,Primates,Cheirogaleidae,Microcebus,
3199,I,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,
3200,I,Microcebus sambiranensis,Mammalia,Primates,Cheirogaleidae,Microcebus,
3201,I,Microcebus tavaratra,Mammalia,Primates,Cheirogaleidae,Microcebus,MG
3202,I,Microcebus tavaratra,Mammalia,Primates,Cheirogaleidae,Microcebus,XX
3203,I,Mirza coquereli,Mammalia,Primates,Cheirogaleidae,Mirza,
3204,I,Pseudemydura umbrina,Reptilia,Testudines,Chelidae,Pseudemydura,AU
3205,I,Pseudemydura umbrina,Reptilia,Testudines,Chelidae,Pseudemydura,
3206,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,XX
3207,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,
3208,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,
3209,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,XX
3210,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,NI
3211,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,XX
3212,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,FR
3213,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,
3214,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,GB
3215,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,PF
3216,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CU
3217,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,DE
3218,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,XX
3219,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,
3220,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,JM
3221,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,PF
3222,I,Eretmochelys imbricata imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,XX
3223,I,Eretmochelys imbricata imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,
3224,I,Lepidochelys kempii,Reptilia,Testudines,Cheloniidae,Lepidochelys,
3225,I,Lepidochelys olivacea,Reptilia,Testudines,Cheloniidae,Lepidochelys,
3226,I,Lepidochelys olivacea,Reptilia,Testudines,Cheloniidae,Lepidochelys,XX
3227,I,Natator depressus,Reptilia,Testudines,Cheloniidae,Natator,
3228,I,Ciconia boyciana,Aves,Ciconiiformes,Ciconiidae,Ciconia,
3229,I,Jabiru mycteria,Aves,Ciconiiformes,Ciconiidae,Jabiru,BR
3230,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,NL
3231,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,
3232,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,BE
3233,I,Caloenas nicobarica,Aves,Columbiformes,Columbidae,Caloenas,PH
3234,I,Saussurea costus,,Asterales,Compositae,Saussurea,
3235,I,Saussurea costus,,Asterales,Compositae,Saussurea,IN
3236,I,Saussurea costus,,Asterales,Compositae,Saussurea,CN
3237,I,Saussurea costus,,Asterales,Compositae,Saussurea,XX
3238,I,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,XX
3239,I,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3240,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,CO
3241,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3242,I,Crocodylus mindorensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3243,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,SN
3244,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,XX
3245,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3246,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MG
3247,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MZ
3248,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,FR
3249,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,PH
3250,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ZW
3251,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ZA
3252,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IL
3253,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MY
3254,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,PH
3255,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TH
3256,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US
3257,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3258,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,AU
3259,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,SG
3260,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ZW
3261,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,XX
3262,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT
3263,I,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ZM
3264,I,Crocodylus rhombifer,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3265,I,Crocodylus rhombifer,Reptilia,Crocodylia,Crocodylidae,Crocodylus,PG
3266,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TH
3267,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,VN
3268,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,
3269,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,KH
3270,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,XX
3271,I,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,SG
3272,I,Osteolaemus tetraspis,Reptilia,Crocodylia,Crocodylidae,Osteolaemus,ES
3273,I,Osteolaemus tetraspis,Reptilia,Crocodylia,Crocodylidae,Osteolaemus,
3274,I,Tomistoma schlegelii,Reptilia,Crocodylia,Crocodylidae,Tomistoma,
3275,I,Andrias davidianus,Amphibia,Caudata,Cryptobranchidae,Andrias,CN
3276,I,Orcaella brevirostris,Mammalia,Cetacea,Delphinidae,Orcaella,
3277,I,Sousa chinensis,Mammalia,Cetacea,Delphinidae,Sousa,TH
3278,I,Sousa chinensis,Mammalia,Cetacea,Delphinidae,Sousa,
3279,I,Dermochelys coriacea,Reptilia,Testudines,Dermochelyidae,Dermochelys,XX
3280,I,Dermochelys coriacea,Reptilia,Testudines,Dermochelyidae,Dermochelys,
3281,I,Dugong dugon,Mammalia,Sirenia,Dugongidae,Dugong,FR
3282,I,Dugong dugon,Mammalia,Sirenia,Dugongidae,Dugong,
3283,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,XX
3284,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,
3285,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB
3286,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN
3287,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP
3288,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KE
3289,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AO
3290,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,XX
3291,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,
3292,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,UA
3293,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CX
3294,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CN
3295,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,ZZ
3296,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE
3297,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,KR
3298,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,IN
3299,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,VN
3300,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,XX
3301,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,
3302,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,TZ
3303,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CD
3304,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BW
3305,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,KE
3306,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SD
3307,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CI
3308,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH
3309,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CG
3310,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MZ
3311,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA
3312,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZM
3313,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AO
3314,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BF
3315,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CF
3316,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CM
3317,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GA
3318,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,LR
3319,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,LY
3320,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,RW
3321,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SL
3322,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SO
3323,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,TD
3324,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GN
