DateKey,Date,DateYear,DateDay,DateMonth
20090307,03/07/2009,2009,3,7
20090308,03/08/2009,2009,3,8
20090309,03/09/2009,2009,3,9
20090310,03/10/2009,2009,3,10
20090311,03/11/2009,2009,3,11
20090312,03/12/2009,2009,3,12
20090313,03/13/2009,2009,3,13
20090314,03/14/2009,2009,3,14
20090315,03/15/2009,2009,3,15
20090316,03/16/2009,2009,3,16
20090317,03/17/2009,2009,3,17
20090318,03/18/2009,2009,3,18
20090319,03/19/2009,2009,3,19
20090320,03/20/2009,2009,3,20
20090321,03/21/2009,2009,3,21
20090322,03/22/2009,2009,3,22
20090323,03/23/2009,2009,3,23
20090324,03/24/2009,2009,3,24
20090325,03/25/2009,2009,3,25
20090326,03/26/2009,2009,3,26
20090327,03/27/2009,2009,3,27
20090328,03/28/2009,2009,3,28
20090329,03/29/2009,2009,3,29
20090330,03/30/2009,2009,3,30
20090331,03/31/2009,2009,3,31
20090401,04/01/2009,2009,4,1
20090402,04/02/2009,2009,4,2
20090403,04/03/2009,2009,4,3
20090404,04/04/2009,2009,4,4
20090405,04/05/2009,2009,4,5
20090406,04/06/2009,2009,4,6
20090407,04/07/2009,2009,4,7
20090408,04/08/2009,2009,4,8
20090409,04/09/2009,2009,4,9
20090410,04/10/2009,2009,4,10
20090411,04/11/2009,2009,4,11
20090412,04/12/2009,2009,4,12
20090413,04/13/2009,2009,4,13
20090414,04/14/2009,2009,4,14
20090415,04/15/2009,2009,4,15
20090416,04/16/2009,2009,4,16
20090417,04/17/2009,2009,4,17
20090418,04/18/2009,2009,4,18
20090419,04/19/2009,2009,4,19
20090420,04/20/2009,2009,4,20
20090421,04/21/2009,2009,4,21
20090422,04/22/2009,2009,4,22
20090423,04/23/2009,2009,4,23
20090424,04/24/2009,2009,4,24
20090425,04/25/2009,2009,4,25
20090426,04/26/2009,2009,4,26
20090427,04/27/2009,2009,4,27
20090428,04/28/2009,2009,4,28
20090429,04/29/2009,2009,4,29
20090430,04/30/2009,2009,4,30
20090501,05/01/2009,2009,5,1
20090502,05/02/2009,2009,5,2
20090503,05/03/2009,2009,5,3
20090504,05/04/2009,2009,5,4
20090505,05/05/2009,2009,5,5
20090506,05/06/2009,2009,5,6
20090507,05/07/2009,2009,5,7
20090508,05/08/2009,2009,5,8
20090509,05/09/2009,2009,5,9
20090510,05/10/2009,2009,5,10
20090511,05/11/2009,2009,5,11
20090512,05/12/2009,2009,5,12
20090513,05/13/2009,2009,5,13
20090514,05/14/2009,2009,5,14
20090515,05/15/2009,2009,5,15
20090516,05/16/2009,2009,5,16
20090517,05/17/2009,2009,5,17
20090518,05/18/2009,2009,5,18
20090519,05/19/2009,2009,5,19
20090520,05/20/2009,2009,5,20
20090521,05/21/2009,2009,5,21
20090522,05/22/2009,2009,5,22
20090523,05/23/2009,2009,5,23
20090524,05/24/2009,2009,5,24
20090525,05/25/2009,2009,5,25
20090526,05/26/2009,2009,5,26
20090527,05/27/2009,2009,5,27
20090528,05/28/2009,2009,5,28
20090529,05/29/2009,2009,5,29
20090530,05/30/2009,2009,5,30
20090531,05/31/2009,2009,5,31
20090601,06/01/2009,2009,6,1
20090602,06/02/2009,2009,6,2
20090603,06/03/2009,2009,6,3
20090604,06/04/2009,2009,6,4
20090605,06/05/2009,2009,6,5
20090606,06/06/2009,2009,6,6
20090607,06/07/2009,2009,6,7
20090608,06/08/2009,2009,6,8
20090609,06/09/2009,2009,6,9
20090610,06/10/2009,2009,6,10
20090611,06/11/2009,2009,6,11
20090612,06/12/2009,2009,6,12
20090613,06/13/2009,2009,6,13
20090614,06/14/2009,2009,6,14
20090615,06/15/2009,2009,6,15
20090616,06/16/2009,2009,6,16
20090617,06/17/2009,2009,6,17
20090618,06/18/2009,2009,6,18
20090619,06/19/2009,2009,6,19
20090620,06/20/2009,2009,6,20
20090621,06/21/2009,2009,6,21
20090622,06/22/2009,2009,6,22
20090623,06/23/2009,2009,6,23
20090624,06/24/2009,2009,6,24
20090625,06/25/2009,2009,6,25
20090626,06/26/2009,2009,6,26
20090627,06/27/2009,2009,6,27
20090628,06/28/2009,2009,6,28
20090629,06/29/2009,2009,6,29
20090630,06/30/2009,2009,6,30
20090701,07/01/2009,2009,7,1
20090702,07/02/2009,2009,7,2
20090703,07/03/2009,2009,7,3
20090704,07/04/2009,2009,7,4
20090705,07/05/2009,2009,7,5
20090706,07/06/2009,2009,7,6
20090707,07/07/2009,2009,7,7
20090708,07/08/2009,2009,7,8
20090709,07/09/2009,2009,7,9
20090710,07/10/2009,2009,7,10
20090711,07/11/2009,2009,7,11
20090712,07/12/2009,2009,7,12
20090713,07/13/2009,2009,7,13
20090714,07/14/2009,2009,7,14
20090715,07/15/2009,2009,7,15
20090716,07/16/2009,2009,7,16
20090717,07/17/2009,2009,7,17
20090718,07/18/2009,2009,7,18
20090719,07/19/2009,2009,7,19
20090720,07/20/2009,2009,7,20
20090721,07/21/2009,2009,7,21
20090722,07/22/2009,2009,7,22
20090723,07/23/2009,2009,7,23
20090724,07/24/2009,2009,7,24
20090725,07/25/2009,2009,7,25
20090726,07/26/2009,2009,7,26
20090727,07/27/2009,2009,7,27
20090728,07/28/2009,2009,7,28
20090729,07/29/2009,2009,7,29
20090730,07/30/2009,2009,7,30
20090731,07/31/2009,2009,7,31
20090801,08/01/2009,2009,8,1
20090802,08/02/2009,2009,8,2
20090803,08/03/2009,2009,8,3
20090804,08/04/2009,2009,8,4
20090805,08/05/2009,2009,8,5
20090806,08/06/2009,2009,8,6
20090807,08/07/2009,2009,8,7
20090808,08/08/2009,2009,8,8
20090809,08/09/2009,2009,8,9
20090810,08/10/2009,2009,8,10
20090811,08/11/2009,2009,8,11
20090812,08/12/2009,2009,8,12
20090813,08/13/2009,2009,8,13
20090814,08/14/2009,2009,8,14
20090815,08/15/2009,2009,8,15
20090816,08/16/2009,2009,8,16
20090817,08/17/2009,2009,8,17
20090818,08/18/2009,2009,8,18
20090819,08/19/2009,2009,8,19
20090820,08/20/2009,2009,8,20
20090821,08/21/2009,2009,8,21
20090822,08/22/2009,2009,8,22
20090823,08/23/2009,2009,8,23
20090824,08/24/2009,2009,8,24
20090825,08/25/2009,2009,8,25
20090826,08/26/2009,2009,8,26
20090827,08/27/2009,2009,8,27
20090828,08/28/2009,2009,8,28
20090829,08/29/2009,2009,8,29
20090830,08/30/2009,2009,8,30
20090831,08/31/2009,2009,8,31
20090901,09/01/2009,2009,9,1
20090902,09/02/2009,2009,9,2
20090903,09/03/2009,2009,9,3
20090904,09/04/2009,2009,9,4
20090905,09/05/2009,2009,9,5
20090906,09/06/2009,2009,9,6
20090907,09/07/2009,2009,9,7
20090908,09/08/2009,2009,9,8
20090909,09/09/2009,2009,9,9
20090910,09/10/2009,2009,9,10
20090911,09/11/2009,2009,9,11
20090912,09/12/2009,2009,9,12
20090913,09/13/2009,2009,9,13
20090914,09/14/2009,2009,9,14
20090915,09/15/2009,2009,9,15
20090916,09/16/2009,2009,9,16
20090917,09/17/2009,2009,9,17
20090918,09/18/2009,2009,9,18
20090919,09/19/2009,2009,9,19
20090920,09/20/2009,2009,9,20
20090921,09/21/2009,2009,9,21
20090922,09/22/2009,2009,9,22
20090923,09/23/2009,2009,9,23
20090924,09/24/2009,2009,9,24
20090925,09/25/2009,2009,9,25
20090926,09/26/2009,2009,9,26
20090927,09/27/2009,2009,9,27
20090928,09/28/2009,2009,9,28
20090929,09/29/2009,2009,9,29
20090930,09/30/2009,2009,9,30
20091001,10/01/2009,2009,10,1
20091002,10/02/2009,2009,10,2
20091003,10/03/2009,2009,10,3
20091004,10/04/2009,2009,10,4
20091005,10/05/2009,2009,10,5
20091006,10/06/2009,2009,10,6
20091007,10/07/2009,2009,10,7
20091008,10/08/2009,2009,10,8
20091009,10/09/2009,2009,10,9
20091010,10/10/2009,2009,10,10
20091011,10/11/2009,2009,10,11
20091012,10/12/2009,2009,10,12
20091013,10/13/2009,2009,10,13
20091014,10/14/2009,2009,10,14
20091015,10/15/2009,2009,10,15
20091016,10/16/2009,2009,10,16
20091017,10/17/2009,2009,10,17
20091018,10/18/2009,2009,10,18
20091019,10/19/2009,2009,10,19
20091020,10/20/2009,2009,10,20
20091021,10/21/2009,2009,10,21
20091022,10/22/2009,2009,10,22
20091023,10/23/2009,2009,10,23
20091024,10/24/2009,2009,10,24
20091025,10/25/2009,2009,10,25
20091026,10/26/2009,2009,10,26
20091027,10/27/2009,2009,10,27
20091028,10/28/2009,2009,10,28
20091029,10/29/2009,2009,10,29
20091030,10/30/2009,2009,10,30
20091031,10/31/2009,2009,10,31
20091101,11/01/2009,2009,11,1
20091102,11/02/2009,2009,11,2
20091103,11/03/2009,2009,11,3
20091104,11/04/2009,2009,11,4
20091105,11/05/2009,2009,11,5
20091106,11/06/2009,2009,11,6
20091107,11/07/2009,2009,11,7
20091108,11/08/2009,2009,11,8
20091109,11/09/2009,2009,11,9
20091110,11/10/2009,2009,11,10
20091111,11/11/2009,2009,11,11
20091112,11/12/2009,2009,11,12
20091113,11/13/2009,2009,11,13
20091114,11/14/2009,2009,11,14
20091115,11/15/2009,2009,11,15
20091116,11/16/2009,2009,11,16
20091117,11/17/2009,2009,11,17
20091118,11/18/2009,2009,11,18
20091119,11/19/2009,2009,11,19
20091120,11/20/2009,2009,11,20
20091121,11/21/2009,2009,11,21
20091122,11/22/2009,2009,11,22
20091123,11/23/2009,2009,11,23
20091124,11/24/2009,2009,11,24
20091125,11/25/2009,2009,11,25
20091126,11/26/2009,2009,11,26
20091127,11/27/2009,2009,11,27
20091128,11/28/2009,2009,11,28
20091129,11/29/2009,2009,11,29
20091130,11/30/2009,2009,11,30
20091201,12/01/2009,2009,12,1
20091202,12/02/2009,2009,12,2
20091203,12/03/2009,2009,12,3
20091204,12/04/2009,2009,12,4
20091205,12/05/2009,2009,12,5
20091206,12/06/2009,2009,12,6
20091207,12/07/2009,2009,12,7
20091208,12/08/2009,2009,12,8
20091209,12/09/2009,2009,12,9
20091210,12/10/2009,2009,12,10
20091211,12/11/2009,2009,12,11
20091212,12/12/2009,2009,12,12
20091213,12/13/2009,2009,12,13
20091214,12/14/2009,2009,12,14
20091215,12/15/2009,2009,12,15
20091216,12/16/2009,2009,12,16
20091217,12/17/2009,2009,12,17
20091218,12/18/2009,2009,12,18
20091219,12/19/2009,2009,12,19
20091220,12/20/2009,2009,12,20
20091221,12/21/2009,2009,12,21
20091222,12/22/2009,2009,12,22
20091223,12/23/2009,2009,12,23
20091224,12/24/2009,2009,12,24
20091225,12/25/2009,2009,12,25
20091226,12/26/2009,2009,12,26
20091227,12/27/2009,2009,12,27
20091228,12/28/2009,2009,12,28
20091229,12/29/2009,2009,12,29
20091230,12/30/2009,2009,12,30
20091231,12/31/2009,2009,12,31
20100101,01/01/2010,2010,1,1
20100102,01/02/2010,2010,1,2
20100103,01/03/2010,2010,1,3
20100104,01/04/2010,2010,1,4
20100105,01/05/2010,2010,1,5
20100106,01/06/2010,2010,1,6
20100107,01/07/2010,2010,1,7
20100108,01/08/2010,2010,1,8
20100109,01/09/2010,2010,1,9
20100110,01/10/2010,2010,1,10
20100111,01/11/2010,2010,1,11
20100112,01/12/2010,2010,1,12
20100113,01/13/2010,2010,1,13
20100114,01/14/2010,2010,1,14
20100115,01/15/2010,2010,1,15
20100116,01/16/2010,2010,1,16
20100117,01/17/2010,2010,1,17
20100118,01/18/2010,2010,1,18
20100119,01/19/2010,2010,1,19
20100120,01/20/2010,2010,1,20
20100121,01/21/2010,2010,1,21
20100122,01/22/2010,2010,1,22
20100123,01/23/2010,2010,1,23
20100124,01/24/2010,2010,1,24
20100125,01/25/2010,2010,1,25
20100126,01/26/2010,2010,1,26
20100127,01/27/2010,2010,1,27
20100128,01/28/2010,2010,1,28
20100129,01/29/2010,2010,1,29
20100130,01/30/2010,2010,1,30
20100131,01/31/2010,2010,1,31
20100201,02/01/2010,2010,2,1
20100202,02/02/2010,2010,2,2
20100203,02/03/2010,2010,2,3
20100204,02/04/2010,2010,2,4
20100205,02/05/2010,2010,2,5
20100206,02/06/2010,2010,2,6
20100207,02/07/2010,2010,2,7
20100208,02/08/2010,2010,2,8
20100209,02/09/2010,2010,2,9
20100210,02/10/2010,2010,2,10
20100211,02/11/2010,2010,2,11
20100212,02/12/2010,2010,2,12
20100213,02/13/2010,2010,2,13
20100214,02/14/2010,2010,2,14
20100215,02/15/2010,2010,2,15
20100216,02/16/2010,2010,2,16
20100217,02/17/2010,2010,2,17
20100218,02/18/2010,2010,2,18
20100219,02/19/2010,2010,2,19
20100220,02/20/2010,2010,2,20
20100221,02/21/2010,2010,2,21
20100222,02/22/2010,2010,2,22
20100223,02/23/2010,2010,2,23
20100224,02/24/2010,2010,2,24
20100225,02/25/2010,2010,2,25
20100226,02/26/2010,2010,2,26
20100227,02/27/2010,2010,2,27
20100228,02/28/2010,2010,2,28
20100301,03/01/2010,2010,3,1
20100302,03/02/2010,2010,3,2
20100303,03/03/2010,2010,3,3
20100304,03/04/2010,2010,3,4
20100305,03/05/2010,2010,3,5
20100306,03/06/2010,2010,3,6
20100307,03/07/2010,2010,3,7
20100308,03/08/2010,2010,3,8
20100309,03/09/2010,2010,3,9
20100310,03/10/2010,2010,3,10
20100311,03/11/2010,2010,3,11
20100312,03/12/2010,2010,3,12
20100313,03/13/2010,2010,3,13
20100314,03/14/2010,2010,3,14
20100315,03/15/2010,2010,3,15
20100316,03/16/2010,2010,3,16
20100317,03/17/2010,2010,3,17
20100318,03/18/2010,2010,3,18
20100319,03/19/2010,2010,3,19
20100320,03/20/2010,2010,3,20
20100321,03/21/2010,2010,3,21
20100322,03/22/2010,2010,3,22
20100323,03/23/2010,2010,3,23
20100324,03/24/2010,2010,3,24
20100325,03/25/2010,2010,3,25
20100326,03/26/2010,2010,3,26
20100327,03/27/2010,2010,3,27
20100328,03/28/2010,2010,3,28
20100329,03/29/2010,2010,3,29
20100330,03/30/2010,2010,3,30
20100331,03/31/2010,2010,3,31
20100401,04/01/2010,2010,4,1
20100402,04/02/2010,2010,4,2
20100403,04/03/2010,2010,4,3
20100404,04/04/2010,2010,4,4
20100405,04/05/2010,2010,4,5
20100406,04/06/2010,2010,4,6
20100407,04/07/2010,2010,4,7
20100408,04/08/2010,2010,4,8
20100409,04/09/2010,2010,4,9
20100410,04/10/2010,2010,4,10
20100411,04/11/2010,2010,4,11
20100412,04/12/2010,2010,4,12
20100413,04/13/2010,2010,4,13
20100414,04/14/2010,2010,4,14
20100415,04/15/2010,2010,4,15
20100416,04/16/2010,2010,4,16
20100417,04/17/2010,2010,4,17
20100418,04/18/2010,2010,4,18
20100419,04/19/2010,2010,4,19
20100420,04/20/2010,2010,4,20
20100421,04/21/2010,2010,4,21
20100422,04/22/2010,2010,4,22
20100423,04/23/2010,2010,4,23
20100424,04/24/2010,2010,4,24
20100425,04/25/2010,2010,4,25
20100426,04/26/2010,2010,4,26
20100427,04/27/2010,2010,4,27
20100428,04/28/2010,2010,4,28
20100429,04/29/2010,2010,4,29
20100430,04/30/2010,2010,4,30
20100501,05/01/2010,2010,5,1
20100502,05/02/2010,2010,5,2
20100503,05/03/2010,2010,5,3
20100504,05/04/2010,2010,5,4
20100505,05/05/2010,2010,5,5
20100506,05/06/2010,2010,5,6
20100507,05/07/2010,2010,5,7
20100508,05/08/2010,2010,5,8
20100509,05/09/2010,2010,5,9
20100510,05/10/2010,2010,5,10
20100511,05/11/2010,2010,5,11
20100512,05/12/2010,2010,5,12
20100513,05/13/2010,2010,5,13
20100514,05/14/2010,2010,5,14
20100515,05/15/2010,2010,5,15
20100516,05/16/2010,2010,5,16
20100517,05/17/2010,2010,5,17
20100518,05/18/2010,2010,5,18
20100519,05/19/2010,2010,5,19
20100520,05/20/2010,2010,5,20
20100521,05/21/2010,2010,5,21
20100522,05/22/2010,2010,5,22
20100523,05/23/2010,2010,5,23
20100524,05/24/2010,2010,5,24
20100525,05/25/2010,2010,5,25
20100526,05/26/2010,2010,5,26
20100527,05/27/2010,2010,5,27
20100528,05/28/2010,2010,5,28
20100529,05/29/2010,2010,5,29
20100530,05/30/2010,2010,5,30
20100531,05/31/2010,2010,5,31
20100601,06/01/2010,2010,6,1
20100602,06/02/2010,2010,6,2
20100603,06/03/2010,2010,6,3
20100604,06/04/2010,2010,6,4
20100605,06/05/2010,2010,6,5
20100606,06/06/2010,2010,6,6
20100607,06/07/2010,2010,6,7
20100608,06/08/2010,2010,6,8
20100609,06/09/2010,2010,6,9
20100610,06/10/2010,2010,6,10
20100611,06/11/2010,2010,6,11
20100612,06/12/2010,2010,6,12
20100613,06/13/2010,2010,6,13
20100614,06/14/2010,2010,6,14
20100615,06/15/2010,2010,6,15
20100616,06/16/2010,2010,6,16
20100617,06/17/2010,2010,6,17
20100618,06/18/2010,2010,6,18
20100619,06/19/2010,2010,6,19
20100620,06/20/2010,2010,6,20
20100621,06/21/2010,2010,6,21
20100622,06/22/2010,2010,6,22
20100623,06/23/2010,2010,6,23
20100624,06/24/2010,2010,6,24
20100625,06/25/2010,2010,6,25
20100626,06/26/2010,2010,6,26
20100627,06/27/2010,2010,6,27
20100628,06/28/2010,2010,6,28
20100629,06/29/2010,2010,6,29
20100630,06/30/2010,2010,6,30
20100701,07/01/2010,2010,7,1
20100702,07/02/2010,2010,7,2
20100703,07/03/2010,2010,7,3
20100704,07/04/2010,2010,7,4
20100705,07/05/2010,2010,7,5
20100706,07/06/2010,2010,7,6
20100707,07/07/2010,2010,7,7
20100708,07/08/2010,2010,7,8
20100709,07/09/2010,2010,7,9
20100710,07/10/2010,2010,7,10
20100711,07/11/2010,2010,7,11
20100712,07/12/2010,2010,7,12
20100713,07/13/2010,2010,7,13
20100714,07/14/2010,2010,7,14
20100715,07/15/2010,2010,7,15
20100716,07/16/2010,2010,7,16
20100717,07/17/2010,2010,7,17
20100718,07/18/2010,2010,7,18
20100719,07/19/2010,2010,7,19
20100720,07/20/2010,2010,7,20
20100721,07/21/2010,2010,7,21
20100722,07/22/2010,2010,7,22
20100723,07/23/2010,2010,7,23
20100724,07/24/2010,2010,7,24
20100725,07/25/2010,2010,7,25
20100726,07/26/2010,2010,7,26
20100727,07/27/2010,2010,7,27
20100728,07/28/2010,2010,7,28
20100729,07/29/2010,2010,7,29
20100730,07/30/2010,2010,7,30
20100731,07/31/2010,2010,7,31
20100801,08/01/2010,2010,8,1
20100802,08/02/2010,2010,8,2
20100803,08/03/2010,2010,8,3
20100804,08/04/2010,2010,8,4
20100805,08/05/2010,2010,8,5
20100806,08/06/2010,2010,8,6
20100807,08/07/2010,2010,8,7
20100808,08/08/2010,2010,8,8
20100809,08/09/2010,2010,8,9
20100810,08/10/2010,2010,8,10
20100811,08/11/2010,2010,8,11
20100812,08/12/2010,2010,8,12
20100813,08/13/2010,2010,8,13
20100814,08/14/2010,2010,8,14
20100815,08/15/2010,2010,8,15
20100816,08/16/2010,2010,8,16
20100817,08/17/2010,2010,8,17
20100818,08/18/2010,2010,8,18
20100819,08/19/2010,2010,8,19
20100820,08/20/2010,2010,8,20
20100821,08/21/2010,2010,8,21
20100822,08/22/2010,2010,8,22
20100823,08/23/2010,2010,8,23
20100824,08/24/2010,2010,8,24
20100825,08/25/2010,2010,8,25
20100826,08/26/2010,2010,8,26
20100827,08/27/2010,2010,8,27
20100828,08/28/2010,2010,8,28
20100829,08/29/2010,2010,8,29
20100830,08/30/2010,2010,8,30
20100831,08/31/2010,2010,8,31
20100901,09/01/2010,2010,9,1
20100902,09/02/2010,2010,9,2
20100903,09/03/2010,2010,9,3
20100904,09/04/2010,2010,9,4
20100905,09/05/2010,2010,9,5
20100906,09/06/2010,2010,9,6
20100907,09/07/2010,2010,9,7
20100908,09/08/2010,2010,9,8
20100909,09/09/2010,2010,9,9
20100910,09/10/2010,2010,9,10
20100911,09/11/2010,2010,9,11
20100912,09/12/2010,2010,9,12
20100913,09/13/2010,2010,9,13
20100914,09/14/2010,2010,9,14
20100915,09/15/2010,2010,9,15
20100916,09/16/2010,2010,9,16
20100917,09/17/2010,2010,9,17
20100918,09/18/2010,2010,9,18
20100919,09/19/2010,2010,9,19
20100920,09/20/2010,2010,9,20
20100921,09/21/2010,2010,9,21
20100922,09/22/2010,2010,9,22
20100923,09/23/2010,2010,9,23
20100924,09/24/2010,2010,9,24
20100925,09/25/2010,2010,9,25
20100926,09/26/2010,2010,9,26
20100927,09/27/2010,2010,9,27
20100928,09/28/2010,2010,9,28
20100929,09/29/2010,2010,9,29
20100930,09/30/2010,2010,9,30
20101001,10/01/2010,2010,10,1
20101002,10/02/2010,2010,10,2
20101003,10/03/2010,2010,10,3
20101004,10/04/2010,2010,10,4
20101005,10/05/2010,2010,10,5
20101006,10/06/2010,2010,10,6
20101007,10/07/2010,2010,10,7
20101008,10/08/2010,2010,10,8
20101009,10/09/2010,2010,10,9
20101010,10/10/2010,2010,10,10
20101011,10/11/2010,2010,10,11
20101012,10/12/2010,2010,10,12
20101013,10/13/2010,2010,10,13
20101014,10/14/2010,2010,10,14
20101015,10/15/2010,2010,10,15
20101016,10/16/2010,2010,10,16
20101017,10/17/2010,2010,10,17
20101018,10/18/2010,2010,10,18
20101019,10/19/2010,2010,10,19
20101020,10/20/2010,2010,10,20
20101021,10/21/2010,2010,10,21
20101022,10/22/2010,2010,10,22
20101023,10/23/2010,2010,10,23
20101024,10/24/2010,2010,10,24
20101025,10/25/2010,2010,10,25
20101026,10/26/2010,2010,10,26
20101027,10/27/2010,2010,10,27
20101028,10/28/2010,2010,10,28
20101029,10/29/2010,2010,10,29
20101030,10/30/2010,2010,10,30
20101031,10/31/2010,2010,10,31
20101101,11/01/2010,2010,11,1
20101102,11/02/2010,2010,11,2
20101103,11/03/2010,2010,11,3
20101104,11/04/2010,2010,11,4
20101105,11/05/2010,2010,11,5
20101106,11/06/2010,2010,11,6
20101107,11/07/2010,2010,11,7
20101108,11/08/2010,2010,11,8
20101109,11/09/2010,2010,11,9
20101110,11/10/2010,2010,11,10
20101111,11/11/2010,2010,11,11
20101112,11/12/2010,2010,11,12
20101113,11/13/2010,2010,11,13
20101114,11/14/2010,2010,11,14
20101115,11/15/2010,2010,11,15
20101116,11/16/2010,2010,11,16
20101117,11/17/2010,2010,11,17
20101118,11/18/2010,2010,11,18
20101119,11/19/2010,2010,11,19
20101120,11/20/2010,2010,11,20
20101121,11/21/2010,2010,11,21
20101122,11/22/2010,2010,11,22
20101123,11/23/2010,2010,11,23
20101124,11/24/2010,2010,11,24
20101125,11/25/2010,2010,11,25
20101126,11/26/2010,2010,11,26
20101127,11/27/2010,2010,11,27
20101128,11/28/2010,2010,11,28
20101129,11/29/2010,2010,11,29
20101130,11/30/2010,2010,11,30
20101201,12/01/2010,2010,12,1
20101202,12/02/2010,2010,12,2
20101203,12/03/2010,2010,12,3
20101204,12/04/2010,2010,12,4
20101205,12/05/2010,2010,12,5
20101206,12/06/2010,2010,12,6
20101207,12/07/2010,2010,12,7
20101208,12/08/2010,2010,12,8
20101209,12/09/2010,2010,12,9
20101210,12/10/2010,2010,12,10
20101211,12/11/2010,2010,12,11
20101212,12/12/2010,2010,12,12
20101213,12/13/2010,2010,12,13
20101214,12/14/2010,2010,12,14
20101215,12/15/2010,2010,12,15
20101216,12/16/2010,2010,12,16
20101217,12/17/2010,2010,12,17
20101218,12/18/2010,2010,12,18
20101219,12/19/2010,2010,12,19
20101220,12/20/2010,2010,12,20
20101221,12/21/2010,2010,12,21
20101222,12/22/2010,2010,12,22
20101223,12/23/2010,2010,12,23
20101224,12/24/2010,2010,12,24
20101225,12/25/2010,2010,12,25
20101226,12/26/2010,2010,12,26
20101227,12/27/2010,2010,12,27
20101228,12/28/2010,2010,12,28
20101229,12/29/2010,2010,12,29
20101230,12/30/2010,2010,12,30
20101231,12/31/2010,2010,12,31
20110101,01/01/2011,2011,1,1
20110102,01/02/2011,2011,1,2
20110103,01/03/2011,2011,1,3
20110104,01/04/2011,2011,1,4
20110105,01/05/2011,2011,1,5
20110106,01/06/2011,2011,1,6
20110107,01/07/2011,2011,1,7
20110108,01/08/2011,2011,1,8
20110109,01/09/2011,2011,1,9
20110110,01/10/2011,2011,1,10
20110111,01/11/2011,2011,1,11
20110112,01/12/2011,2011,1,12
20110113,01/13/2011,2011,1,13
20110114,01/14/2011,2011,1,14
20110115,01/15/2011,2011,1,15
20110116,01/16/2011,2011,1,16
20110117,01/17/2011,2011,1,17
20110118,01/18/2011,2011,1,18
20110119,01/19/2011,2011,1,19
20110120,01/20/2011,2011,1,20
20110121,01/21/2011,2011,1,21
20110122,01/22/2011,2011,1,22
20110123,01/23/2011,2011,1,23
20110124,01/24/2011,2011,1,24
20110125,01/25/2011,2011,1,25
20110126,01/26/2011,2011,1,26
20110127,01/27/2011,2011,1,27
20110128,01/28/2011,2011,1,28
20110129,01/29/2011,2011,1,29
20110130,01/30/2011,2011,1,30
20110131,01/31/2011,2011,1,31
20110201,02/01/2011,2011,2,1
20110202,02/02/2011,2011,2,2
20110203,02/03/2011,2011,2,3
20110204,02/04/2011,2011,2,4
20110205,02/05/2011,2011,2,5
20110206,02/06/2011,2011,2,6
20110207,02/07/2011,2011,2,7
20110208,02/08/2011,2011,2,8
20110209,02/09/2011,2011,2,9
20110210,02/10/2011,2011,2,10
20110211,02/11/2011,2011,2,11
20110212,02/12/2011,2011,2,12
20110213,02/13/2011,2011,2,13
20110214,02/14/2011,2011,2,14
