,TransactionNumber,DateNumber,SpecieNumber,MarketingNumber,TermNumber,ImporterNumber,ExporterNumber,Quantity,UnitPrice,TotalPrice
31,118622,20100221,5449,275,904,1265,1168,12.0,70,840.0
32,118841,20121128,5487,220,904,1265,1168,53.0,716,37948.0
33,118905,20110218,5489,349,904,1265,1168,51.0,654,33354.0
34,119065,20151117,5506,264,904,1265,1168,23.0,625,14375.0
35,119181,20180618,5517,242,904,1265,1168,50.0,903,45150.0
36,119348,20130130,5533,359,904,1265,1168,69.0,74,5106.0
37,119413,20150927,5537,203,904,1265,1168,78.0,482,37596.0
38,119470,20141117,5550,303,904,1265,1168,56.0,646,36176.0
39,130810,20180815,6484,204,904,1265,1168,59.0,827,48793.0
40,130916,20131003,6515,202,904,1265,1168,68.0,338,22984.0
41,130954,20170710,6518,251,904,1265,1168,99.0,89,8811.0
42,130966,20170602,6520,363,904,1265,1168,94.0,528,49632.0
43,131001,20131029,6521,304,904,1265,1168,54.0,106,5724.0
44,131082,20090221,6530,203,904,1265,1168,99.0,907,89793.0
45,131123,20111222,6546,340,904,1265,1168,67.0,387,25929.0
46,131133,20111022,6549,316,904,1265,1168,2.0,391,782.0
47,131192,20180210,6552,308,904,1265,1168,97.0,401,38897.0
48,131232,20110525,6562,312,904,1265,1168,59.0,690,40710.0
49,131455,20110814,6615,264,904,1265,1168,8.0,300,2400.0
50,131463,20090926,6617,236,904,1265,1168,90.0,783,70470.0
51,135485,20181226,7147,268,904,1265,1168,24.0,399,9576.0
52,135562,20130813,7156,370,904,1265,1168,69.0,163,11247.0
53,135618,20110622,7162,303,904,1265,1168,35.0,319,11165.0
54,135657,20140820,7170,204,904,1265,1168,15.0,870,13050.0
55,135685,20170503,7172,227,904,1265,1168,56.0,241,13496.0
56,136120,20111003,7227,281,904,1265,1168,34.0,191,6494.0
57,136158,20180807,7231,345,904,1265,1168,27.0,969,26163.0
58,136202,20160702,7240,258,904,1265,1168,30.0,14,420.0
59,136238,20150203,7249,372,904,1265,1168,6.0,949,5694.0
60,136332,20100514,7259,354,904,1265,1168,2.0,861,1722.0
61,140564,20110528,8262,358,904,1265,1168,28.0,568,15904.0
62,141643,20100530,8528,214,904,1265,1168,89.0,372,33108.0
63,142266,20120511,8677,290,904,1265,1168,37.0,707,26159.0
64,142463,20130719,8740,361,904,1265,1168,84.0,804,67536.0
65,145227,20170730,9886,289,904,1265,1168,79.0,766,60514.0
66,145415,20090324,9922,314,904,1265,1168,30.0,84,2520.0
67,146483,20100909,10073,365,904,1265,1168,96.0,409,39264.0
68,147994,20151223,10604,253,904,1265,1168,24.0,551,13224.0
69,158354,20140906,11676,206,904,1265,1168,55.0,717,39435.0
70,126841,20141223,6085,359,904,1265,1127,31.0,359,11129.0
71,150431,20181217,10945,343,904,1265,1084,50.0,973,48650.0
72,153268,20160126,11398,270,904,1265,1249,3.0,606,1818.0
73,153269,20111021,11388,359,904,1265,1264,64.0,408,26112.0
74,130060,20151025,6374,224,940,1264,1265,40.0,573,22920.0
75,126838,20130715,6085,329,931,1264,1265,31.0,763,23653.0
76,130061,20130922,6374,345,931,1264,1265,7.0,672,4704.0
77,134944,20131004,7053,298,931,1264,1265,46.0,282,12972.0
78,126837,20151119,6085,318,931,1264,1265,26.0,995,25870.0
79,157879,20100503,11601,304,931,1264,1121,100.0,848,84800.0
80,126839,20170528,6085,255,906,1264,1265,38.0,555,21090.0
81,167095,20180329,12860,369,904,1264,1008,68.0,35,2380.0
82,160662,20100110,12142,284,938,1263,1146,70.0,475,33250.0
83,160919,20160519,12154,328,938,1263,1114,18.0,533,9594.0
84,123296,20111004,5860,258,903,1263,1121,6.0,525,3150.0
85,112057,20141124,4592,214,931,1260,1093,89.0,548,48772.0
86,112058,20150821,4592,324,931,1260,1084,42.0,955,40110.0
87,112054,20161002,4592,298,931,1259,1017,69.0,322,22218.0
88,112055,20140503,4592,236,931,1259,1084,15.0,391,5865.0
89,112056,20121205,4595,295,931,1259,1250,29.0,323,9367.0
90,120405,20160408,5644,297,923,1259,1121,98.0,425,41650.0
91,107165,20140423,4192,329,905,1259,1084,9.0,493,4437.0
92,128608,20110929,6206,236,904,1259,1004,11.0,664,7304.0
93,128611,20100523,6204,268,904,1259,1122,11.0,665,7315.0
94,128607,20171203,6204,227,904,1259,1004,38.0,100,3800.0
95,128609,20160113,6200,251,904,1259,1060,42.0,95,3990.0
96,128610,20150222,6201,353,904,1259,1122,56.0,683,38248.0
97,153247,20091024,11388,206,904,1259,1250,75.0,627,47025.0
98,150762,20161228,10991,204,904,1259,1250,42.0,654,27468.0
99,164395,20100319,12449,282,904,1259,1250,7.0,265,1855.0
100,150761,20100801,10991,270,904,1259,1250,46.0,359,16514.0
101,153246,20160610,11388,347,904,1259,1250,98.0,119,11662.0
102,164615,20130804,12512,329,978,1258,1185,63.0,798,50274.0
103,135394,20100906,7130,228,978,1258,1056,13.0,841,10933.0
104,160915,20180120,12154,296,978,1258,1114,62.0,453,28086.0
105,130659,20100817,6438,295,977,1258,1123,87.0,153,13311.0
106,130661,20100922,6438,340,977,1258,1250,60.0,640,38400.0
107,130658,20150624,6438,310,977,1258,1123,3.0,550,1650.0
108,130660,20131102,6438,316,977,1258,1250,8.0,795,6360.0
109,160660,20121117,12142,255,975,1258,1146,41.0,553,22673.0
110,160914,20150202,12154,260,975,1258,1114,80.0,202,16160.0
111,160918,20120508,12155,220,975,1258,1212,55.0,587,32285.0
112,160917,20140925,12155,290,975,1258,1212,7.0,896,6272.0
113,161096,20100708,12162,283,972,1258,1114,69.0,91,6279.0
114,160916,20121126,12154,249,972,1258,1114,30.0,402,12060.0
115,113661,20140502,4652,367,968,1258,1121,60.0,130,7800.0
116,135326,20091002,7122,243,954,1258,1223,97.0,769,74593.0
117,135327,20090512,7125,218,954,1258,1070,63.0,829,52227.0
118,165963,20150203,12705,285,954,1258,1040,58.0,79,4582.0
119,107168,20140115,4188,204,952,1258,1093,99.0,125,12375.0
120,133624,20100708,6840,210,951,1258,1165,59.0,68,4012.0
121,102366,20150306,3300,295,944,1258,1093,36.0,366,13176.0
122,102367,20151213,3300,251,944,1258,1249,47.0,258,12126.0
123,107170,20100625,4189,203,943,1258,1073,64.0,67,4288.0
124,108283,20090401,4259,213,943,1258,1084,9.0,518,4662.0
125,107172,20170819,4191,243,943,1258,1084,30.0,15,450.0
126,112062,20161225,4592,335,940,1258,1084,46.0,352,16192.0
127,164269,20160627,12407,272,940,1258,1121,36.0,202,7272.0
128,157816,20170301,11598,272,940,1258,1121,62.0,763,47306.0
129,130656,20090601,6438,295,939,1258,1123,83.0,240,19920.0
130,130657,20101112,6438,369,939,1258,1123,53.0,860,45580.0
131,166730,20140113,12773,297,939,1258,1093,9.0,591,5319.0
132,166731,20150520,12774,278,939,1258,1093,65.0,231,15015.0
133,135497,20091002,7154,292,939,1258,1123,17.0,95,1615.0
134,116583,20120518,5176,335,939,1258,1123,98.0,553,54194.0
135,145851,20160531,9981,335,939,1258,1084,49.0,802,39298.0
136,128363,20130902,6149,204,938,1258,1121,19.0,548,10412.0
137,100984,20170506,3234,289,937,1258,1050,29.0,979,28391.0
138,114250,20110311,4772,356,937,1258,1110,35.0,913,31955.0
139,114251,20161220,4773,255,937,1258,1250,6.0,995,5970.0
140,160783,20110615,12149,340,932,1258,1084,78.0,32,2496.0
141,112059,20100623,4592,205,931,1258,1024,39.0,128,4992.0
142,112061,20110217,4592,277,931,1258,1050,63.0,852,53676.0
143,112065,20110123,4592,278,931,1258,1249,15.0,616,9240.0
144,112067,20090212,4592,278,931,1258,1110,64.0,440,28160.0
145,112071,20111231,4592,326,931,1258,1121,45.0,443,19935.0
146,112074,20100311,4592,304,931,1258,1142,64.0,686,43904.0
147,113657,20090316,4652,208,931,1258,1084,89.0,129,11481.0
148,113663,20100619,4652,312,931,1258,1142,89.0,581,51709.0
149,127112,20101106,6115,214,931,1258,1123,92.0,930,85560.0
150,128256,20091229,6119,228,931,1258,1212,76.0,933,70908.0
151,155264,20091125,11562,239,931,1258,1084,52.0,428,22256.0
152,155265,20100710,11562,248,931,1258,1121,74.0,860,63640.0
153,157809,20110322,11599,298,931,1258,1110,7.0,462,3234.0
154,159635,20100321,11980,289,931,1258,1084,23.0,237,5451.0
155,163228,20090225,12371,345,931,1258,1084,22.0,986,21692.0
156,163230,20101228,12370,296,931,1258,1084,84.0,569,47796.0
157,163231,20110329,12371,303,931,1258,1110,10.0,519,5190.0
158,163236,20101211,12371,309,931,1258,1212,83.0,848,70384.0
159,164268,20101008,12409,243,931,1258,1084,25.0,378,9450.0
160,112063,20150330,4592,249,931,1258,1084,31.0,535,16585.0
161,112066,20131202,4592,292,931,1258,1249,2.0,93,186.0
162,112075,20180208,4592,281,931,1258,1146,23.0,358,8234.0
163,112078,20170319,4592,203,931,1258,1212,71.0,784,55664.0
164,112288,20180210,4620,249,931,1258,1142,91.0,582,52962.0
165,112548,20140222,4632,244,931,1258,1110,89.0,259,23051.0
166,112549,20140304,4632,274,931,1258,1212,25.0,73,1825.0
167,113658,20160919,4652,289,931,1258,1110,86.0,339,29154.0
168,113660,20141203,4652,208,931,1258,1121,53.0,688,36464.0
169,113665,20161221,4652,282,931,1258,1212,21.0,643,13503.0
170,154654,20131219,11535,294,931,1258,1121,43.0,267,11481.0
171,154850,20180302,11556,304,931,1258,1084,44.0,741,32604.0
172,154851,20180420,11556,347,931,1258,1121,30.0,586,17580.0
173,155266,20181219,11562,367,931,1258,1212,72.0,381,27432.0
174,157805,20140511,11599,209,931,1258,1084,30.0,540,16200.0
175,157812,20151019,11599,279,931,1258,1121,86.0,597,51342.0
176,157822,20130201,11599,242,931,1258,1212,70.0,723,50610.0
177,163234,20130302,12370,310,931,1258,1121,100.0,917,91700.0
178,164267,20160428,12407,206,931,1258,1084,6.0,475,2850.0
179,164271,20161220,12407,283,931,1258,1121,44.0,429,18876.0
180,164274,20140801,12409,232,931,1258,1121,2.0,879,1758.0
181,164275,20161228,12407,282,931,1258,1123,84.0,440,36960.0
182,164277,20180203,12409,230,931,1258,1123,86.0,676,58136.0
183,164278,20170729,12407,358,931,1258,1142,63.0,168,10584.0
184,164279,20150920,12407,335,931,1258,1168,76.0,851,64676.0
185,164280,20120822,12407,329,931,1258,1212,3.0,760,2280.0
186,112077,20131230,4592,299,931,1258,1212,6.0,927,5562.0
187,126769,20150122,6076,298,931,1258,1084,57.0,974,55518.0
188,126774,20170427,6076,304,931,1258,1121,25.0,332,8300.0
189,126776,20130123,6079,264,931,1258,1212,38.0,807,30666.0
190,128244,20180102,6117,239,931,1258,1084,20.0,270,5400.0
191,128250,20120904,6117,299,931,1258,1121,91.0,733,66703.0
192,112081,20171219,4595,372,931,1258,1250,79.0,723,57117.0
193,101317,20150704,3253,363,931,1258,1084,92.0,525,48300.0
194,101318,20161220,3255,295,931,1258,1084,77.0,343,26411.0
195,113085,20100702,4640,279,931,1258,1212,20.0,176,3520.0
196,113664,20100524,4652,220,931,1258,1212,72.0,485,34920.0
197,128254,20090112,6117,270,931,1258,1212,1.0,893,893.0
198,128255,20091230,6119,364,931,1258,1212,42.0,689,28938.0
199,154656,20111020,11535,353,931,1258,1212,81.0,537,43497.0
200,157808,20111014,11598,209,931,1258,1084,30.0,114,3420.0
201,157815,20100320,11601,270,931,1258,1121,33.0,82,2706.0
202,112070,20150126,4592,296,931,1258,1121,97.0,91,8827.0
203,112076,20170703,4592,292,931,1258,1212,72.0,349,25128.0
204,113083,20160520,4640,363,931,1258,1084,57.0,37,2109.0
205,126767,20170125,6076,285,931,1258,1093,98.0,22,2156.0
206,126768,20151206,6076,266,931,1258,1084,40.0,762,30480.0
207,126771,20170619,6077,204,931,1258,1121,6.0,914,5484.0
208,126773,20130427,6076,333,931,1258,1121,43.0,374,16082.0
209,126775,20150405,6077,246,931,1258,1212,36.0,824,29664.0
210,126777,20180619,6076,299,931,1258,1212,53.0,737,39061.0
211,128243,20150128,6117,292,931,1258,1084,47.0,651,30597.0
212,128247,20170527,6119,227,931,1258,1084,86.0,856,73616.0
213,154648,20180705,11535,364,931,1258,1084,93.0,976,90768.0
214,154649,20150623,11535,234,931,1258,1249,13.0,800,10400.0
215,154650,20170309,11535,246,931,1258,1110,37.0,140,5180.0
216,154651,20130607,11539,220,931,1258,1121,45.0,625,28125.0
217,154653,20170305,11535,296,931,1258,1121,23.0,802,18446.0
218,157803,20160227,11601,349,931,1258,1093,9.0,673,6057.0
219,157804,20150911,11598,240,931,1258,1223,5.0,99,495.0
220,157807,20170112,11601,246,931,1258,1084,22.0,624,13728.0
221,157810,20171208,11601,230,931,1258,1110,65.0,300,19500.0
222,157818,20180628,11598,284,931,1258,1121,78.0,812,63336.0
223,157824,20150209,11601,272,931,1258,1212,35.0,739,25865.0
224,157827,20140201,11598,298,931,1258,1212,50.0,647,32350.0
225,112069,20120304,4592,257,931,1258,1121,57.0,500,28500.0
226,112073,20121123,4592,205,931,1258,1158,95.0,390,37050.0
227,113659,20120914,4652,308,931,1258,1121,70.0,135,9450.0
228,157811,20160828,11599,329,931,1258,1121,57.0,889,50673.0
229,163233,20171002,12370,227,931,1258,1121,63.0,58,3654.0
230,164270,20170330,12407,354,931,1258,1121,38.0,739,28082.0
231,164273,20170119,12409,299,931,1258,1121,59.0,444,26196.0
232,126772,20111112,6076,354,931,1258,1121,93.0,789,73377.0
233,128249,20120627,6117,316,931,1258,1121,79.0,696,54984.0
234,112068,20160502,4592,234,931,1258,1121,25.0,974,24350.0
235,128248,20120702,6117,354,931,1258,1121,27.0,753,20331.0
236,128252,20090615,6119,335,931,1258,1123,88.0,404,35552.0
237,128253,20101128,6117,277,931,1258,1158,32.0,944,30208.0
238,154652,20130517,11535,373,931,1258,1121,7.0,929,6503.0
239,155442,20130312,11580,214,931,1258,1123,2.0,816,1632.0
240,157814,20100124,11601,230,931,1258,1121,99.0,688,68112.0
241,157817,20090808,11598,372,931,1258,1121,46.0,465,21390.0
242,158896,20170304,11844,232,928,1258,1172,48.0,331,15888.0
243,120406,20140822,5645,257,926,1258,1121,51.0,107,5457.0
244,107169,20100726,4188,227,925,1258,1093,9.0,997,8973.0
245,107167,20150323,4189,301,925,1258,1093,72.0,150,10800.0
246,107173,20140816,4189,260,925,1258,1212,28.0,391,10948.0
247,107174,20150730,4191,324,925,1258,1212,50.0,835,41750.0
248,107757,20140819,4215,363,925,1258,1212,33.0,939,30987.0
249,116584,20161024,5177,340,925,1258,1146,79.0,396,31284.0
250,141451,20140628,8494,294,925,1258,1093,87.0,333,28971.0
251,120408,20110608,5645,299,923,1258,1121,27.0,434,11718.0
252,120407,20181204,5645,369,923,1258,1121,45.0,118,5310.0
253,133625,20150609,6840,239,918,1258,1165,11.0,42,462.0
254,113909,20150930,4707,220,915,1258,1050,24.0,421,10104.0
255,112064,20101020,4592,295,914,1258,1084,17.0,336,5712.0
256,112072,20110303,4592,345,914,1258,1121,22.0,436,9592.0
257,157826,20090829,11605,331,914,1258,1212,89.0,643,57227.0
258,163229,20160203,12371,367,914,1258,1084,56.0,66,3696.0
259,163232,20151021,12369,361,914,1258,1121,41.0,993,40713.0
260,128246,20150405,6117,309,914,1258,1084,38.0,187,7106.0
261,126770,20151017,6076,303,914,1258,1084,2.0,550,1100.0
262,157828,20110129,11605,242,906,1258,1250,43.0,651,27993.0
263,163235,20090412,12371,366,906,1258,1123,69.0,698,48162.0
264,164272,20110701,12407,236,906,1258,1121,32.0,558,17856.0
265,164276,20100826,12407,264,906,1258,1123,34.0,497,16898.0
266,112060,20160502,4592,278,906,1258,1024,19.0,702,13338.0
267,112079,20140102,4592,349,906,1258,1212,13.0,919,11947.0
268,113662,20181030,4652,210,906,1258,1121,96.0,770,73920.0
269,127113,20120903,6115,322,906,1258,1212,52.0,902,46904.0
270,155267,20140504,11562,358,906,1258,1212,64.0,745,47680.0
271,157806,20140614,11599,243,906,1258,1084,67.0,307,20569.0
272,157813,20151104,11599,353,906,1258,1121,94.0,246,23124.0
273,157819,20180707,11599,202,906,1258,1123,17.0,772,13124.0
274,157820,20120330,11605,249,906,1258,1123,71.0,413,29323.0
275,157821,20120509,11603,264,906,1258,1146,23.0,753,17319.0
276,157823,20180529,11599,301,906,1258,1212,30.0,714,21420.0
277,157825,20140311,11605,316,906,1258,1212,82.0,395,32390.0
278,163227,20140513,12371,285,906,1258,1024,68.0,787,53516.0
279,128251,20111203,6118,289,906,1258,1123,2.0,371,742.0
280,113744,20150326,4664,209,906,1258,1250,60.0,885,53100.0
281,101532,20100522,3266,222,906,1258,1123,12.0,829,9948.0
282,101319,20180906,3257,367,906,1258,1146,88.0,47,4136.0
283,112080,20160315,4592,345,906,1258,1242,97.0,110,10670.0
284,113084,20120415,4640,268,906,1258,1121,7.0,578,4046.0
285,128245,20130408,6117,331,906,1258,1084,33.0,462,15246.0
286,154655,20160706,11535,373,906,1258,1121,100.0,341,34100.0
287,155443,20130613,11580,335,906,1258,1123,6.0,761,4566.0
288,130341,20131115,6415,314,906,1258,1165,67.0,855,57285.0
289,130340,20110408,6415,303,906,1258,1064,60.0,76,4560.0
290,107171,20090202,4191,328,905,1258,1084,16.0,223,3568.0
291,107755,20100102,4211,297,905,1258,1084,24.0,475,11400.0
292,107756,20171221,4212,341,905,1258,1084,6.0,692,4152.0
293,108282,20130124,4259,347,905,1258,1084,85.0,449,38165.0
294,108413,20150325,4267,277,905,1258,1084,92.0,370,34040.0
295,128613,20180503,6200,361,904,1258,1123,44.0,249,10956.0
296,100232,20171031,3069,273,904,1258,1248,83.0,110,9130.0
297,100161,20171002,3055,369,904,1258,1093,52.0,708,36816.0
298,100230,20170226,3072,277,904,1258,1248,16.0,826,13216.0
299,100231,20180626,3069,369,904,1258,1248,94.0,456,42864.0
300,100233,20160718,3069,204,904,1258,1093,44.0,599,26356.0
301,100234,20140802,3069,262,904,1258,1189,47.0,674,31678.0
302,128612,20100729,6200,340,904,1258,1067,79.0,838,66202.0
303,106257,20180517,4179,354,904,1258,1056,7.0,45,315.0
304,148215,20180716,10667,230,904,1258,1253,55.0,412,22660.0
305,159955,20180921,12007,210,904,1258,1250,88.0,468,41184.0
306,104938,20100116,3688,218,904,1258,1114,6.0,728,4368.0
307,104939,20100604,3688,253,904,1258,1146,52.0,74,3848.0
308,104941,20110812,3688,240,904,1258,1212,91.0,10,910.0
309,104940,20160720,3689,314,904,1258,1212,70.0,474,33180.0
310,103520,20090830,3460,274,904,1258,1024,12.0,654,7848.0
311,103522,20091117,3460,238,904,1258,1063,38.0,771,29298.0
312,103950,20100909,3552,264,904,1258,1063,93.0,194,18042.0
313,103951,20090526,3553,297,904,1258,1063,5.0,550,2750.0
314,103952,20090127,3554,292,904,1258,1063,82.0,134,10988.0
315,105208,20090412,3758,326,904,1258,1168,60.0,263,15780.0
316,105405,20101120,3834,246,904,1258,1168,21.0,250,5250.0
317,105406,20110719,3818,234,904,1258,1168,85.0,183,15555.0
318,106018,20090225,4052,227,904,1258,1214,91.0,433,39403.0
319,106073,20090405,4083,260,904,1258,1024,54.0,900,48600.0
320,106074,20090117,4084,297,904,1258,1214,78.0,776,60528.0
321,150566,20110603,10957,351,904,1258,1168,50.0,897,44850.0
322,151215,20090607,11053,369,904,1258,1168,33.0,802,26466.0
323,151346,20100223,11073,240,904,1258,1168,6.0,677,4062.0
324,152426,20090518,11283,278,904,1258,1168,99.0,320,31680.0
325,103519,20120229,3466,289,904,1258,1024,22.0,896,19712.0
326,103521,20140917,3466,238,904,1258,1063,40.0,370,14800.0
327,103523,20130429,3455,364,904,1258,1063,48.0,646,31008.0
328,103949,20160731,3550,239,904,1258,1063,80.0,644,51520.0
329,103953,20180906,3555,214,904,1258,1063,38.0,415,15770.0
330,104971,20180930,3704,232,904,1258,1168,17.0,401,6817.0
331,104972,20170630,3705,306,904,1258,1168,73.0,262,19126.0
332,104983,20130821,3711,298,904,1258,1168,25.0,739,18475.0
333,105095,20180414,3730,366,904,1258,1093,91.0,459,41769.0
334,105207,20170614,3757,273,904,1258,1093,49.0,781,38269.0
335,105209,20130117,3766,340,904,1258,1168,88.0,561,49368.0
336,105210,20160213,3772,320,904,1258,1168,78.0,730,56940.0
337,105211,20180330,3757,243,904,1258,1168,72.0,201,14472.0
338,105311,20170917,3808,363,904,1258,1093,29.0,425,12325.0
339,105403,20151217,3818,359,904,1258,1093,97.0,884,85748.0
340,105404,20180516,3822,359,904,1258,1168,59.0,486,28674.0
341,105436,20151019,3841,209,904,1258,1168,9.0,159,1431.0
342,106075,20131207,4080,272,904,1258,1214,47.0,348,16356.0
343,106238,20121129,4169,222,904,1258,1024,76.0,234,17784.0
344,107166,20131214,4188,322,904,1258,1050,79.0,73,5767.0
345,113885,20140929,4702,210,904,1258,1168,72.0,687,49464.0
346,115096,20130611,4927,208,904,1258,1254,11.0,409,4499.0
347,138356,20140408,7531,273,904,1258,1254,8.0,838,6704.0
348,151645,20130808,11153,266,904,1258,1168,33.0,988,32604.0
349,152344,20140104,11278,370,904,1258,1168,70.0,495,34650.0
350,158914,20160728,11852,351,904,1258,1254,68.0,321,21828.0
351,161539,20170607,12215,370,904,1258,1050,73.0,567,41391.0
352,142262,20111127,8679,289,904,1258,1050,100.0,232,23200.0
353,145288,20100509,9900,216,904,1258,1050,71.0,65,4615.0
354,145412,20100608,9922,273,904,1258,1050,45.0,626,28170.0
355,116250,20130721,5095,285,904,1258,1050,96.0,221,21216.0
356,117303,20181202,5254,274,904,1258,1050,47.0,542,25474.0
357,117850,20130417,5325,234,904,1258,1050,4.0,377,1508.0
358,118713,20160813,5470,341,904,1258,1050,74.0,449,33226.0
359,118984,20170513,5503,365,904,1258,1050,24.0,481,11544.0
360,141640,20181005,8528,222,904,1258,1050,46.0,38,1748.0
361,146476,20170331,10073,356,904,1258,1050,40.0,574,22960.0
362,146477,20151121,10073,204,904,1258,1050,100.0,642,64200.0
363,150979,20120831,11031,352,904,1258,1212,56.0,170,9520.0
364,151216,20130619,11061,278,904,1258,1212,99.0,913,90387.0
365,151347,20130919,11077,246,904,1258,1212,70.0,785,54950.0
366,151681,20150123,11162,290,904,1258,1212,69.0,541,37329.0
367,151722,20131230,11167,248,904,1258,1212,63.0,289,18207.0
368,151383,20140605,11095,340,904,1258,1212,87.0,619,53853.0
369,104937,20140220,3688,227,904,1258,1114,21.0,766,16086.0
370,152114,20121228,11237,324,904,1258,1212,40.0,472,18880.0
371,152245,20100903,11268,206,904,1258,1212,45.0,630,28350.0
372,153248,20150225,11390,214,904,1258,1212,100.0,922,92200.0
373,102365,20090309,3300,224,903,1258,1017,4.0,262,1048.0
374,112082,20101208,4595,335,903,1258,1250,8.0,872,6976.0
375,122368,20121129,5822,284,903,1258,1084,13.0,733,9529.0
376,123295,20180810,5859,306,903,1258,1250,32.0,332,10624.0
377,135271,20111124,7119,210,954,1257,1223,11.0,520,5720.0
378,112053,20100814,4595,234,931,1257,1250,56.0,471,26376.0
379,112047,20161021,4592,205,931,1257,1248,66.0,866,57156.0
380,112048,20170307,4594,268,931,1257,1248,40.0,486,19440.0
381,112049,20151007,4592,249,931,1257,1084,46.0,360,16560.0
382,112052,20150205,4592,224,931,1257,1121,84.0,405,34020.0
383,112547,20170406,4632,281,931,1257,1121,29.0,829,24041.0
384,157800,20141208,11599,202,931,1257,1121,73.0,293,21389.0
385,164264,20150818,12407,347,931,1257,1084,19.0,76,1444.0
386,164266,20180211,12409,266,931,1257,1121,79.0,313,24727.0
387,126763,20110731,6077,244,931,1257,1248,88.0,262,23056.0
388,126765,20160918,6076,310,931,1257,1248,56.0,673,37688.0
389,126764,20090922,6076,234,931,1257,1248,19.0,815,15485.0
390,113082,20131206,4640,326,931,1257,1084,64.0,487,31168.0
391,128242,20160906,6129,341,931,1257,1248,58.0,104,6032.0
392,154645,20140528,11535,203,931,1257,1084,98.0,299,29302.0
393,154647,20160731,11535,232,931,1257,1121,43.0,162,6966.0
394,157801,20170925,11601,206,931,1257,1121,49.0,669,32781.0
395,157802,20131229,11598,230,931,1257,1121,61.0,5,305.0
396,112051,20120412,4592,218,931,1257,1121,61.0,607,37027.0
397,164265,20170224,12407,343,931,1257,1121,93.0,635,59055.0
398,112050,20171221,4592,349,931,1257,1121,11.0,64,704.0
399,126766,20110827,6077,270,931,1257,1121,64.0,196,12544.0
400,154646,20131218,11535,322,931,1257,1121,15.0,483,7245.0
401,107164,20110330,4189,364,925,1257,1093,1.0,156,156.0
402,130339,20140616,6415,230,906,1257,1165,77.0,555,42735.0
403,128606,20130509,6200,351,904,1257,1060,73.0,319,23287.0
404,150677,20161105,10968,322,904,1257,1223,66.0,547,36102.0
405,146474,20160306,10073,213,904,1257,1168,44.0,359,15796.0
406,146475,20140413,10073,287,904,1257,1232,46.0,114,5244.0
407,122367,20131025,5822,201,903,1257,1084,31.0,678,21018.0
408,112083,20090828,4595,268,940,1256,1190,94.0,518,48692.0
409,112084,20090327,4595,251,931,1256,1190,13.0,997,12961.0
410,113086,20091122,4645,244,931,1256,1190,9.0,909,8181.0
411,126778,20090928,6085,255,931,1256,1190,80.0,160,12800.0
412,157829,20140101,11603,251,931,1256,1190,23.0,122,2806.0
413,164281,20180202,12410,356,931,1256,1190,52.0,278,14456.0
414,106031,20130702,4067,295,916,1256,1209,44.0,87,3828.0
415,112085,20090403,4595,292,914,1256,1190,63.0,231,14553.0
416,164282,20160227,12410,306,906,1256,1190,12.0,306,3672.0
417,153315,20140624,11439,264,904,1256,1209,39.0,99,3861.0
418,105966,20110816,4048,246,901,1256,1209,55.0,33,1815.0
419,106030,20111009,4067,312,901,1256,1209,15.0,679,10185.0
